codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments
109,,,dwb_ctr1,gems1_huas_data.sas7bdat,,,,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
110,,,dwb_ctr2,gems1_huas_data.sas7bdat,,,,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
111,,,dwb_ctr3,gems1_huas_data.sas7bdat,,,,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
112,,,dwb_ctr4,gems1_huas_data.sas7bdat,,,,,,,"G51: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea with blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
113,,,dwob_ctr1,gems1_huas_data.sas7bdat,,,,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 1st choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
114,,,dwob_ctr2,gems1_huas_data.sas7bdat,,,,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 2nd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
115,,,dwob_ctr3,gems1_huas_data.sas7bdat,,,,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 3rd choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
116,,,dwob_ctr4,gems1_huas_data.sas7bdat,,,,,,,"G51.2: Health care attitudes. Multifilter: Where would you seek care for the following? 4th choice for diarrhea without blood. Section G: skip for children who had diarrhea in the last 2 weeks. There is a max of 4 choices. If care was never sought, ask where the caretaker would seek care if needed. Use Health Facility Coding list. Licenced/private practitioner=010; pharmacy=020; friend/relative=030; traditional healer=040; unlicensed practitioner/village doctor/bush doctor=050; buy medicine at the shop/market=060; other facilities not coded=090",,Multifilter,
257,,,q51_sentinel,gems1_huas_data.sas7bdat,,,,,,,G51.4: Health care attitudes. Sentinel health center. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,
255,,,q51_healthctr,gems1_huas_data.sas7bdat,,,,,,,G51.5: Health care attitudes. Health center. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,
256,,,q51_professional,gems1_huas_data.sas7bdat,,,,,,,G51.6: Health care attitudes. Professional care. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,
254,,,q51_healer,gems1_huas_data.sas7bdat,,,,,,,G51.7: Health care attitudes. Traditional healer or unlicensed practitioner. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,
258,,,q51_withb,gems1_huas_data.sas7bdat,,,,,,,G51.8: Health care attitudes. Where would you seek care for diarrhea with blood? Section G: skip for children who had diarrhea in the last 2 weeks,"1, 2, 3, 99",,
259,,,q51_withoutb,gems1_huas_data.sas7bdat,,,,,,,G51.9: Health care attitudes. Where would you seek care for diarrhea without blood? Section G: skip for children who had diarrhea in the last 2 weeks,"1, 2, 3, 99",,
170,,,mghtrec1,gems1_huas_data.sas7bdat,,,,,,,G52: Health care attitudes. Sentinel health center code #1 (for mght1_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,,,
167,,,mght1_op,gems1_huas_data.sas7bdat,,,,,,,G52.1: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #1. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",,
171,,,mghtrec2,gems1_huas_data.sas7bdat,,,,,,,G52.2: Health care attitudes. Sentinel health center code #2 (for mght2_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,,,
168,,,mght2_op,gems1_huas_data.sas7bdat,,,,,,,G52.3: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #2. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",,
172,,,mghtrec3,gems1_huas_data.sas7bdat,,,,,,,G52.4: Health care attitudes. Sentinel health center code #3 (for mght3_op). Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,,,
169,,,mght3_op,gems1_huas_data.sas7bdat,,,,,,,G52.4: Health care attitudes. What is your opinion of the care your child might receive at sentinel health center #3. Section G: skip for children who had diarrhea in the last 2 weeks. Mention the 3 nearest sentinel centers and present the choices to the caretaker,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, 5=Don't know, NA=NA",,
33,,,common_drh,gems1_huas_data.sas7bdat,,,,,,,H53: Attitudes about diarrheal illness. What is the most common diarrheal illness affecting children younger than 60 months of age in your community. Select only 1,"1=Simple loose/watery diarrhea, 2=Rice watery/cholera-like illness, 3=Don't know, 4=Bloody diarrhea, 5=Other, specify, NA=NA",,
70,,,died_blood,gems1_huas_data.sas7bdat,,,,,,,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Bloody diarrhea.,"1=No, 2=Yes, NA=NA",Multifilter,
72,,,died_rice,gems1_huas_data.sas7bdat,,,,,,,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Rice watery/cholera-like illness.,"1=No, 2=Yes, NA=NA",Multifilter,
71,,,died_loose,gems1_huas_data.sas7bdat,,,,,,,H54: Attitudes about diarrheal illness. Multifilter: Do you know about a child who died from any of the following illnesses before their 5th birthday? Simple loose/watery diarrhea.,"1=No, 2=Yes, NA=NA",Multifilter,
30,,,chldget_blood,gems1_huas_data.sas7bdat,,,,,,,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Bloody diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
32,,,chldget_rice,gems1_huas_data.sas7bdat,,,,,,,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Rice watery/cholera-like illness.,"1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
31,,,chldget_loose,gems1_huas_data.sas7bdat,,,,,,,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Simple loose/watery diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
215,,,prevent_blood,gems1_huas_data.sas7bdat,,,,,,,H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Bloody diarrhea.,"1=No, 2=Yes, NA=NA",Multifilter,
217,,,prevent_rice,gems1_huas_data.sas7bdat,,,,,,,H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Rice watery/cholera-like illness.,"1=No, 2=Yes, NA=NA",Multifilter,
216,,,prevent_loose,gems1_huas_data.sas7bdat,,,,,,,H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Simple loose/watery diarrhea.,"1=No, 2=Yes, NA=NA",Multifilter,
218,,,prevways_brefeed,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Breastfeeding. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
220,,,prevways_cnbeprev,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Cannot be prevented. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
219,,,prevways_clean,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Clean food or water. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
221,,,prevways_med,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Medications. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
222,,,prevways_nutr,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Nutrition. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
225,,,prevways_waste,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Proper disposal of human waste. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
223,,,prevways_vaccin,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Vaccines. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
224,,,prevways_wash,gems1_huas_data.sas7bdat,,,,,,,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Washing hands. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",Multifilter,
326,,,trtworks_blood,gems1_huas_data.sas7bdat,,,,,,,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Bloody diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
328,,,trtworks_rice,gems1_huas_data.sas7bdat,,,,,,,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Rice watery/cholera-like illness.,"1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
327,,,trtworks_loose,gems1_huas_data.sas7bdat,,,,,,,H58: Attitudes about diarrheal illness. Multifilter: Do you think there is a treatment that works well for each of the following? Simple loose/watery diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
198,,,ors_work,gems1_huas_data.sas7bdat,,,,,,,"H59: Attitudes about diarrheal illness. In your opinion, does ORS work well to treat diarrhea.","1=No, 2=Yes, 3=Don't know, NA=NA",,
183,,,mst_dangr,gems1_huas_data.sas7bdat,,,,,,,H60: Attitudes about diarrheal illness. Whh of the following is the most dangerous for a child. Select only 1,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,
165,,,lst_dangr,gems1_huas_data.sas7bdat,,,,,,,H61 : Attitudes about diarrheal illness. Which of the following is the least dangerous for a child. Select only 1,"1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,
126,,,highcost,gems1_huas_data.sas7bdat,,,,,,,"H62: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the highest costs. Select only 1","0=NOT IN CODEBOOK, 1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,
164,,,lowcost,gems1_huas_data.sas7bdat,,,,,,,"H63: Attitudes about diarrheal illness. When your child is ill, you may have to pay when you seek medical care. In your opinion, which of the following illnesses has the lowest costs. Select only 1","1=Simple loose/watery diarrhea, 2=Bloody diarrhea, 3=Rice watery/cholera-like illness, 4=Don't know, NA=NA",,
332,,,vac_imp,gems1_huas_data.sas7bdat,,,,,,,"H64: Attitudes about diarrheal illness. In your opinion, are vaccines important for your child's health.","1=No, 2=Yes, NA=NA",Multifilter,
329,,,usevac_blood,gems1_huas_data.sas7bdat,,,,,,,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Bloody diarrhea.","1=No, 2=Yes, NA=NA",Multifilter,
331,,,usevac_rice,gems1_huas_data.sas7bdat,,,,,,,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Rice watery/cholera-like illness.","1=No, 2=Yes, NA=NA",Multifilter,
330,,,usevac_loose,gems1_huas_data.sas7bdat,,,,,,,"H65: Attitudes about diarrheal illness. Multifilter: If there would be a vaccine available to prevent the following illnesses, would you want to use it for your child? Simple loose/watery diarrhea.","1=No, 2=Yes, NA=NA",Multifilter,
96,,,drh_drink,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",Multifilter,
99,,,drh_irritable,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,NA: Diarrhea history. Only complete for children who had diarrhea in the last 2 weeks,"0, 1, 2, 3, 9",Multifilter,
3,,,admit_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,,,,,NA: Health care utilization.,"0, 1",,
5,,,admit_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,,,,,NA: Health care utilization.,1,,
7,,,admit_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,,,,,NA: Health care utilization.,,,
93,,,drh_days_last,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"Only complete for children who had diarrhea in the last 2 weeks. Skip if D28.1=""yes""",,,
10,,,age_weight,gems1_huas_data.sas7bdat,,,,,,,,,,
15,,,anydiarhea,gems1_huas_data.sas7bdat,Diarrhea ,http://purl.obolibrary.org/obo/DOID_13250,,,,,,"0, 1",,"This 'Diarrhea' refer to symptom, should we use EUPATH_0000665, which is under 'Diarrhea episode', means Binary variable that indicates whether or not child had study-defined diarrhea. "
18,,,brth_date_str,gems1_huas_data.sas7bdat,,,,,,,,,,"birth date, same as variable, brth_date?"
21,,,care,gems1_huas_lite_data_kenya.sas7bdat,,,,,,,,"1, 2, 3",,
28,,,careseek,gems1_huas_data.sas7bdat,Seek outside care ,http://purl.obolibrary.org/obo/EUPATH_0015092,,,,,,"0, 1",,"Is it same as variable, 'seekcare'?"
68,,,diarrhea,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,,"0, 1, 2",,
69,,,diarrhea_new,gems1_huas_lite_data_kenya.sas7bdat,,,,,,,,"1, 2",,
207,,,outcome,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Outcome leaving hospital or health center ,http://purl.obolibrary.org/obo/EUPATH_0010353,,,,,,"0, 1, 2, 3, 4, 5",,
313,,,trt_homefluid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,,"0, 1",Multifilter,
314,,,trt_iv,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,,"0, 1",Multifilter,
320,,,trt_none,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",None prescribed or taken ,http://purl.obolibrary.org/obo/EUPATH_0015183,,,,,,"0, 1",,Is it associated with 'Diarrhea treatment by prescription at home'?
321,,,trt_ors,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,,"0, 1",Multifilter,
334,,,vomit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Vomiting 3 or more times per day ,http://purl.obolibrary.org/obo/EUPATH_0015060,,,,,,"0, 1, 2",,Is it a kind of 'Symptoms since illness began'?
335,,,vomit_days,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,,"0, 1, 2, 3",,
336,,,vomit_times,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,,"0, 1, 2, 3",,
337,,,wealth_index,gems1_huas_data.sas7bdat,"Household wealth index, numerical ",http://purl.obolibrary.org/obo/EUPATH_0000014,,,,,,,,
339,,,wiq,gems1_huas_data.sas7bdat,"Household wealth index, categorical ",http://purl.obolibrary.org/obo/EUPATH_0000143,,,,,,"0, 1, 2, 3, 4",,
