variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider
prevways_vaccin,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Vaccines. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,333,NA,NA,,
prevways_wash,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Washing hands. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,331,NA,NA,,
prevways_waste,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Proper disposal of human waste. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,335,NA,NA,,
prim_schl,gems1_huas_data.sas7bdat,,,num,B11: Household information. How far did you (the primary caretaker) go in school.,"1=No formal schooling, 2=Less than primary, 3=Completed primary, 4=Post-secondary, 5=Completed secondary, 6=Religious education only, NA=NA",,,,,37,NA,NA,,
prim_young,gems1_huas_data.sas7bdat,,,num,B15: Household information. How many children younger than 60 months in this household are under your primary care.,,,,,,41,NA,NA,,
primcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A04: Eligibility information. Are you a primary caretaker of the child. If ""no"", ask if a primary caretaker is available. If not available, make an appointment for a return visit.","1=No, 2=Yes",,,,,14,9,10,,
privdoc_consult,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,218,NA,NA,,
privdoc_diag,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,220,NA,NA,,
privdoc_drug,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,219,NA,NA,,
privdoc_othr,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,222,NA,NA,,
privdoc_total,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,223,NA,NA,,
privdoc_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,221,NA,NA,,
q20_code1,gems1_huas_data.sas7bdat,,,num,,,,,,,367,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
q20_code2,gems1_huas_data.sas7bdat,,,num,,,,,,,368,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
q20_code3,gems1_huas_data.sas7bdat,,,num,,,,,,,369,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
q27_eyes_skin,gems1_huas_data.sas7bdat,,,num,D27.1: Diarrhea history. Sunken eyes & loss of skin turgor. Only complete for children who had diarrhea in the last 2 weeks,"1=Sunken eyes only, 2=Wrinkled skin only, 3=Sunken eyes and wrinkled skin, 4=Neither, 5=Unknown",,,,,376,NA,NA,,
q31_1_ctr,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,384,NA,NA,,
q31_1_doc,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,381,NA,NA,,
q31_1_healr,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,380,NA,NA,,
q31_1_pharm,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,379,NA,NA,,
q31_1_privdoc,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,382,NA,NA,,
q31_1_remdy,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,383,NA,NA,,
q31_carequality,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3, 4, 5, 6, 7",,,,,385,NA,NA,,
q31_code1,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,,,,370,NA,NA,,
q31_code2,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,,,,371,NA,NA,,
q31_code3,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,,,,372,NA,NA,,
q31_healer,gems1_huas_data.sas7bdat,,,num,E31.10: Health care utilization. Traditional healer or unlicenced practitioner. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,389,NA,NA,,
q31_healthctr,gems1_huas_data.sas7bdat,,,num,E31.08: Health care utilization. Health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,387,NA,NA,,
q31_nocare,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,378,NA,NA,,
q31_nonprofessional,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,390,NA,NA,,
q31_nonsentinel,gems1_huas_data.sas7bdat,,,num,E31.07: Health care utilization. Non-sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,386,NA,NA,,
q31_professional,gems1_huas_data.sas7bdat,,,num,E31.09: Health care utilization. Professional care. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,388,NA,NA,,
q31_sentinel,gems1_huas_data.sas7bdat,,,num,E31.06: Health care utilization. Sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,374,NA,NA,,
q32_dayseek,gems1_huas_data.sas7bdat,,,num,E32.1: Health care utilization. Sought care at sentinel health facility on day 0-7 of diarrhea. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea",,,,,397,NA,NA,,
q51_healer,gems1_huas_data.sas7bdat,,,num,G51.7: Health care attitudes. Traditional healer or unlicensed practitioner. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,396,NA,NA,,
q51_healthctr,gems1_huas_data.sas7bdat,,,num,G51.5: Health care attitudes. Health center. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,394,NA,NA,,
q51_professional,gems1_huas_data.sas7bdat,,,num,G51.6: Health care attitudes. Professional care. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,395,NA,NA,,
q51_sentinel,gems1_huas_data.sas7bdat,,,num,G51.4: Health care attitudes. Sentinel health center. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,393,NA,NA,,
q51_withb,gems1_huas_data.sas7bdat,,,num,G51.8: Health care attitudes. Section G: skip for children who had diarrhea in the last 2 weeks,"1, 2, 3, 99",,,,,391,NA,NA,,
q51_withoutb,gems1_huas_data.sas7bdat,,,num,G51.9: Health care attitudes. Section G: skip for children who had diarrhea in the last 2 weeks,"1, 2, 3, 99",,,,,392,NA,NA,,
qc_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,chr,A07.5: Eligibility information. Quality control's name (staff code).,,,,,,24,16,3,,
qc_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,chr,A07.6: Eligibility information. Quality control's name 2 (staff code).,,,,,,355,74,4,,
qc_da,gems1_huas_data.sas7bdat,,,num,A07.9: Eligibility information. Day of QC date.,,,,,,28,NA,NA,,
qc_date,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,date,A07.7: Eligibility information. Date of QC.,,,,,,26,17,1,,
qc_date_str,gems1_huas_data.sas7bdat,,,chr,,,,,,,25,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
qc_date2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,date,A07.8: Eligibility information. Date of QC 2.,,,,,,357,75,2,,
qc_date2_str,gems1_huas_data.sas7bdat,,,chr,,,,,,,356,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
qc_mo,gems1_huas_data.sas7bdat,,,num,A07.9: Eligibility information. Month of QC date.,,,,,,27,NA,NA,,
qc_yr,gems1_huas_data.sas7bdat,,,num,A07.9: Eligibility information. Year of QC date.,,,,,,29,NA,NA,,
qc2_da,gems1_huas_data.sas7bdat,,,num,A07.9: Eligibility information. Day of QC2 date.,,,,,,359,NA,NA,,
qc2_mo,gems1_huas_data.sas7bdat,,,num,A07.9: Eligibility information. Month of QC2 date.,,,,,,358,NA,NA,,
qc2_yr,gems1_huas_data.sas7bdat,,,num,A07.9: Eligibility information. Year of QC2 date.,,,,,,360,NA,NA,,
rank_ctr1,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 1st choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,141,NA,NA,,
rank_ctr2,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,143,NA,NA,,
rank_ctr3,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 3nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,145,NA,NA,,
rank_doc,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Unlicensed practitioner/village doctor/bush doctor/village health worker. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,137,NA,NA,,
rank_friend,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Friend/relative. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,135,NA,NA,,
rank_healr,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Traditional healer. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,136,NA,NA,,
rank_othr,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Other, specify. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,147,NA,NA,,
rank_othspec,gems1_huas_data.sas7bdat,,,chr,E31: Health care utilization. Specify (if rank_othr is ranked). Only complete for children who had diarrhea in the last 2 weeks,,,,,,148,NA,NA,,
rank_pharm,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Pharmacy. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,134,NA,NA,,
rank_privdoc,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Licensed practitioner/private doctor (not at hospital). Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,138,NA,NA,,
rank_remdy,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Bought a remedy/drug at the shop/market. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,139,NA,NA,,
relat_spec,gems1_huas_data.sas7bdat,,,chr,B08.1: Household information. Specify other relationship to child (if relation=10).,"=Blank/missing, ADOPTED CHILD=Adoptive parent, CO-WIFE=Co-wife, CORE WIFE=Co-wife, COUSIN=Cousin, COUSIN OF MOTHER=Cousin, HALF SISTER=Half-sister, MOTHER'S AUNT=Mother's Aunt, SISTER IN LAW=Sister-in-law, STEP MOTHER=Step-mother, STEP-MOTHER=Step-mother,",,,,,34,NA,NA,,
relation,gems1_huas_data.sas7bdat,,,num,B08: Household information. What is your relationship to the child.,"1=Mother, 10=Other relation by blood or marriage, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation",,,,,33,NA,NA,,
remdy_consult,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation when buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,224,NA,NA,,
remdy_diag,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics related to remedies/drugs bought at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,226,NA,NA,,
remdy_drug,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for remedies/drugs bought at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,225,NA,NA,,
remdy_othr,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges related to buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,228,NA,NA,,
remdy_spec,gems1_huas_data.sas7bdat,,,chr,E31: Health care utilization. Specify remedy/drug (if rank_remdy is ranked). Only complete for children who had diarrhea in the last 2 weeks,,,,,,140,NA,NA,,
remdy_total,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses related to buying remedies/drugs at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,229,NA,NA,,
remdy_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a shop/market to buy remedies/drugs. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,227,NA,NA,,
rnd_start,gems1_huas_lite_data_6_sites.sas7bdat,,,date,,,,,,,NA,5,NA,,variable not in HUAS codebook (CRF01 HUAS)
rnd_stop,gems1_huas_lite_data_6_sites.sas7bdat,,,date,,,,,,,NA,6,NA,,variable not in HUAS codebook (CRF01 HUAS)
round,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"1, 2, 3, 4, 5, 6",,,,,NA,4,73,,variable not in HUAS codebook (CRF01 HUAS)
rsn_spec,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,chr,A07.1: Eligibility information. reason not conducted.,,,,,,22,13,14,variables 'rsn_spec' & 'rsn_specify' should map to the same display label & IRI,
rundate,gems1_huas_data.sas7bdat,,,num,,17602,,,,,361,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
sd_blood,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Blood in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,70,NA,NA,,
sd_dehydr,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Presence of dehydration. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,74,NA,NA,,
sd_dk,gems1_huas_data.sas7bdat,,,num,C19.1: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Don't know. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,75,NA,NA,,
sd_fever,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Fever associated with diarrhea. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,72,NA,NA,,
sd_lrgperday,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  A large number or amount of stools per day. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,71,NA,NA,,
sd_mucus,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Mucus/pus in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,68,NA,NA,,
sd_rice,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Rice watery stool. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,69,NA,NA,,
sd_vomit,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Diarrhea and vomiting. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,73,NA,NA,,
seek_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,51,50,,
seek_ctr1_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"402, 404, 405, 407, 408, 409, 410, 411, 438, 439, 446, ",,,,,NA,52,51,,
seek_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,76,NA,,
seek_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,54,53,,
seek_ctr2_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"101, 102, 202, 301, 303, 402, 405, 407, 408, 411, 501",,,,,NA,55,54,,
seek_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,1,,,,,NA,77,NA,,
seek_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,58,55,,
seek_ctr3_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"303, 402",,,,,NA,59,56,,
seek_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,E31.12: Health care utilization.,1,,,,,NA,78,NA,,
seek_friend,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,47,46,,
seek_healer,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,49,48,,
seek_licdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,53,52,,
seek_other,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,56,57,,
seek_other_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,chr,E31.12: Health care utilization.,,,,,,NA,57,58,,
seek_pharmacy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,50,49,,
seek_remedy,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,48,47,,
seek_unlicdoc,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E31.12: Health care utilization.,"0, 1",,,,,NA,60,59,,
seekcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E29: Health care utilization. Did you seek care for the child's diarrhea outside of your home. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,119,34,33,,response value 0 not in codebook
seekcarehcf,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2",,,,,NA,NA,78,,variable not in HUAS codebook (CRF01 HUAS)
sex,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,416,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
sexwt,gems1_huas_data.sas7bdat,,,num,,,,,,,400,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,3. Site.,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",,,,,1,1,7,,
slp_rooms,gems1_huas_data.sas7bdat,,,num,B13: Household information. How many rooms in your household are used for sleeping.,,,,,,39,NA,NA,,
status,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A07: Eligibility information. Status of interview.,"1=Conducted, 2=Not conducted",,,,,21,11,12,,
status2,gems1_huas_lite_data_kenya.sas7bdat,,,num,,1,,,,,NA,NA,82,,variable not in HUAS codebook (CRF01 HUAS)
stcare,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,430,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
trnsport,gems1_huas_data.sas7bdat,,,num,C21: Parents perception of illness and use of health care facility. How do you/would you usually get to the health center of first choice.,"0=NOT IN CODEBOOK, 1=Walk, 2=Commercial transport, 3=Personal transport, 4=Combination of the above, NA=NA",,,,,79,NA,NA,,response value 0 not in codebook
trnsport_time,gems1_huas_data.sas7bdat,,,num,C22: Parents perception of illness and use of health care facility. How long does/would it take to get to your center of first choice (using the transport method indicated in trnsport).,"0=NOT IN CODEBOOK, 1=Less than 15 minutes, 2=15 minutes to 30 minutes, 3=30 minutes to 1 hour, 4=1 hour to 4 hours, 5=More than 4 hours, 6=Don't know, NA=NA",,,,,80,NA,NA,,response value 0 not in codebook
trt_blood,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Blood in stool. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,286,NA,NA,,response value 0 not in codebook
trt_coma,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Coma/loss of consciousness. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,289,NA,NA,,response value 0 not in codebook
trt_decurin,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Decreased urination. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,287,NA,NA,,response value 0 not in codebook
trt_dehydr,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Diarrhea with dehydration. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,291,NA,NA,,response value 0 not in codebook
trt_dry,gems1_huas_data.sas7bdat,,,num,"G48: Health care attitudes. Multifilter: If your child had a diarrheal illness, what might you do? Would you seek treatment or advice within the first 7 days of your child's diarrheal illness if he/she had any of the following symptoms? Dry mouth. Section G: skip for children who had diarrhea in the last 2 weeks","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,290,NA,NA,,response value 0 not in codebook
