variable,variable_huas,variable_lite,variable_kenya,dataFile,type,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,codebookValues,codebookDescription
othr_spec,OTHR_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,284,NA,NA,,,,G48.2: Health care attitudes. Specify (if trt_othr=2). Section G: skip for children who had diarrhea in the last 2 weeks
othrlose_earn,OTHRLOSE_EARN,NA,NA,gems1_huas_data.sas7bdat,num,269,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA","F45: Health care expenses. Did other caregivers lose some earinings due to seeking or providing care during the child's illness. Only complete part F if the answer to E29 is ""yes"". Use local currency"
othrlose_total,OTHRLOSE_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,270,NA,NA,,,,"F45: Health care expenses. If yes, how much? (if othrlose_earn=2). Only complete part F if the answer to E29 is ""yes"". Use local currency"
outcome,NA,OUTCOME,outcome,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,33,32,,variable not in HUAS codebook (CRF01 HUAS),"0, 1, 2, 3, 4, 5",
oweight,NA,oweight,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,82,NA,,variable not in HUAS codebook (CRF01 HUAS),,
parents,Parents,NA,NA,gems1_huas_data.sas7bdat,num,398,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"1, 2",
pchldrn,pchldrn,NA,NA,gems1_huas_data.sas7bdat,num,421,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
pharm,pharm,NA,NA,gems1_huas_data.sas7bdat,num,403,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),"0, 1",
pharm_consult,PHARM_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,200,NA,NA,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
pharm_diag,PHARM_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,202,NA,NA,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
pharm_drug,PHARM_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,201,NA,NA,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
pharm_othr,PHARM_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,204,NA,NA,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
pharm_total,PHARM_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,205,NA,NA,,,,"F42.1: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
pharm_trnsprt,PHARM_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,203,NA,NA,,,,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
ppl_house,PPL_HOUSE,NA,NA,gems1_huas_data.sas7bdat,num,38,NA,NA,,,,B12: Household information. How many people have been living regularly in your household for the past 6 months.
prevent_blood,PREVENT_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,324,NA,NA,,,"1=No, 2=Yes, NA=NA",H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Bloody diarrhea.
prevent_loose,PREVENT_LOOSE,NA,NA,gems1_huas_data.sas7bdat,num,323,NA,NA,,,"1=No, 2=Yes, NA=NA",H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Simple loose/watery diarrhea.
prevent_rice,PREVENT_RICE,NA,NA,gems1_huas_data.sas7bdat,num,325,NA,NA,,,"1=No, 2=Yes, NA=NA",H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Rice watery/cholera-like illness.
prevways_brefeed,PREVWAYS_BREFEED,NA,NA,gems1_huas_data.sas7bdat,num,332,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Breastfeeding. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_clean,PREVWAYS_CLEAN,NA,NA,gems1_huas_data.sas7bdat,num,334,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Clean food or water. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_cnbeprev,PREVWAYS_CNBEPREV,NA,NA,gems1_huas_data.sas7bdat,num,336,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Cannot be prevented. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_med,PREVWAYS_MED,NA,NA,gems1_huas_data.sas7bdat,num,330,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Medications. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_nutr,PREVWAYS_NUTR,NA,NA,gems1_huas_data.sas7bdat,num,329,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Nutrition. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_othr,PREVWAYS_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,337,NA,NA,,,"NA=NA, 0=No, 1=Yes","H57.1: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Other, specify. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_spec,PREVWAYS_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,338,NA,NA,,,,H57.2: Attitudes about diarrheal illness. Specify (if prevways_othr=1).
prevways_vaccin,PREVWAYS_VACCIN,NA,NA,gems1_huas_data.sas7bdat,num,333,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Vaccines. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_wash,PREVWAYS_WASH,NA,NA,gems1_huas_data.sas7bdat,num,331,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Washing hands. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prevways_waste,PREVWAYS_WASTE,NA,NA,gems1_huas_data.sas7bdat,num,335,NA,NA,,,"0=No, 1=Yes","H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Proper disposal of human waste. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker."
prim_schl,PRIM_SCHL,NA,NA,gems1_huas_data.sas7bdat,num,37,NA,NA,,,"1=No formal schooling, 2=Less than primary, 3=Completed primary, 4=Post-secondary, 5=Completed secondary, 6=Religious education only, NA=NA",B11: Household information. How far did you (the primary caretaker) go in school.
prim_young,PRIM_YOUNG,NA,NA,gems1_huas_data.sas7bdat,num,41,NA,NA,,,,B15: Household information. How many children younger than 60 months in this household are under your primary care.
primcare,PRIMCARE,PRIMCARE,primcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,14,9,10,,,"1=No, 2=Yes","A04: Eligibility information. Are you a primary caretaker of the child. If ""no"", ask if a primary caretaker is available. If not available, make an appointment for a return visit."
privdoc_consult,PRIVDOC_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,218,NA,NA,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
privdoc_diag,PRIVDOC_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,220,NA,NA,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
privdoc_drug,PRIVDOC_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,219,NA,NA,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
privdoc_othr,PRIVDOC_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,222,NA,NA,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
privdoc_total,PRIVDOC_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,223,NA,NA,,,,"F42.4: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
privdoc_trnsprt,PRIVDOC_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,221,NA,NA,,,,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
q20_code1,Q20_code1,NA,NA,gems1_huas_data.sas7bdat,num,367,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
q20_code2,Q20_code2,NA,NA,gems1_huas_data.sas7bdat,num,368,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
q20_code3,Q20_code3,NA,NA,gems1_huas_data.sas7bdat,num,369,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
q27_eyes_skin,Q27_Eyes_Skin,NA,NA,gems1_huas_data.sas7bdat,num,376,NA,NA,,,"1=Sunken eyes only, 2=Wrinkled skin only, 3=Sunken eyes and wrinkled skin, 4=Neither, 5=Unknown",D27.1: Diarrhea history. Sunken eyes & loss of skin turgor. Only complete for children who had diarrhea in the last 2 weeks
q31_1_ctr,Q31_1_Ctr,NA,NA,gems1_huas_data.sas7bdat,num,384,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_1_doc,Q31_1_Doc,NA,NA,gems1_huas_data.sas7bdat,num,381,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_1_healr,Q31_1_Healr,NA,NA,gems1_huas_data.sas7bdat,num,380,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_1_pharm,Q31_1_Pharm,NA,NA,gems1_huas_data.sas7bdat,num,379,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_1_privdoc,Q31_1_PrivDoc,NA,NA,gems1_huas_data.sas7bdat,num,382,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_1_remdy,Q31_1_Remdy,NA,NA,gems1_huas_data.sas7bdat,num,383,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_carequality,Q31_CareQuality,NA,NA,gems1_huas_data.sas7bdat,num,385,NA,NA,,,"1, 2, 3, 4, 5, 6, 7",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_code1,Q31_code1,NA,NA,gems1_huas_data.sas7bdat,num,370,NA,NA,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_code2,Q31_code2,NA,NA,gems1_huas_data.sas7bdat,num,371,NA,NA,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_code3,Q31_code3,NA,NA,gems1_huas_data.sas7bdat,num,372,NA,NA,,,,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_healer,Q31_Healer,NA,NA,gems1_huas_data.sas7bdat,num,389,NA,NA,,,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",E31.10: Health care utilization. Traditional healer or unlicenced practitioner. Only complete for children who had diarrhea in the last 2 weeks
q31_healthctr,Q31_HealthCtr,NA,NA,gems1_huas_data.sas7bdat,num,387,NA,NA,,,"1=Yes (sentinel or non-sentinel), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",E31.08: Health care utilization. Health center. Only complete for children who had diarrhea in the last 2 weeks
q31_nocare,Q31_NoCare,NA,NA,gems1_huas_data.sas7bdat,num,378,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_nonprofessional,Q31_NonProfessional,NA,NA,gems1_huas_data.sas7bdat,num,390,NA,NA,,,"1, 2, 3",E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks
q31_nonsentinel,Q31_nonSentinel,NA,NA,gems1_huas_data.sas7bdat,num,386,NA,NA,,,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",E31.07: Health care utilization. Non-sentinel health center. Only complete for children who had diarrhea in the last 2 weeks
q31_professional,Q31_Professional,NA,NA,gems1_huas_data.sas7bdat,num,388,NA,NA,,,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",E31.09: Health care utilization. Professional care. Only complete for children who had diarrhea in the last 2 weeks
q31_sentinel,Q31_Sentinel,NA,NA,gems1_huas_data.sas7bdat,num,374,NA,NA,,,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",E31.06: Health care utilization. Sentinel health center. Only complete for children who had diarrhea in the last 2 weeks
q32_dayseek,Q32_DaySeek,NA,NA,gems1_huas_data.sas7bdat,num,397,NA,NA,,,"1=Yes, 2=No, 3=No diarrhea",E32.1: Health care utilization. Sought care at sentinel health facility on day 0-7 of diarrhea. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks
q51_healer,Q51_Healer,NA,NA,gems1_huas_data.sas7bdat,num,396,NA,NA,,,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",G51.7: Health care attitudes. Traditional healer or unlicensed practitioner. Section G: skip for children who had diarrhea in the last 2 weeks
q51_healthctr,Q51_HealthCtr,NA,NA,gems1_huas_data.sas7bdat,num,394,NA,NA,,,"1=Yes (sentinel or non-sentinel), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",G51.5: Health care attitudes. Health center. Section G: skip for children who had diarrhea in the last 2 weeks
q51_professional,Q51_Professional,NA,NA,gems1_huas_data.sas7bdat,num,395,NA,NA,,,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",G51.6: Health care attitudes. Professional care. Section G: skip for children who had diarrhea in the last 2 weeks
q51_sentinel,Q51_Sentinel,NA,NA,gems1_huas_data.sas7bdat,num,393,NA,NA,,,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",G51.4: Health care attitudes. Sentinel health center. Section G: skip for children who had diarrhea in the last 2 weeks
q51_withb,Q51_WithB,NA,NA,gems1_huas_data.sas7bdat,num,391,NA,NA,,,"1, 2, 3, 99",G51.8: Health care attitudes. Section G: skip for children who had diarrhea in the last 2 weeks
q51_withoutb,Q51_WithOutB,NA,NA,gems1_huas_data.sas7bdat,num,392,NA,NA,,,"1, 2, 3, 99",G51.9: Health care attitudes. Section G: skip for children who had diarrhea in the last 2 weeks
qc_code,QC_CODE,QC_CODE,qc_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,24,16,3,,,,A07.5: Eligibility information. Quality control's name (staff code).
qc_code2,QC_CODE2,QC_CODE2,qc_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,355,74,4,,,,A07.6: Eligibility information. Quality control's name 2 (staff code).
qc_da,QC_DA,NA,NA,gems1_huas_data.sas7bdat,num,28,NA,NA,,,,A07.9: Eligibility information. Day of QC date.
qc_date,QC_DATE,QC_DATE,qc_date,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",date,26,17,1,,,,A07.7: Eligibility information. Date of QC.
qc_date_str,QC_DATE_STR,NA,NA,gems1_huas_data.sas7bdat,chr,25,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
qc_date2,QC_DATE2,QC_DATE2,qc_date2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",date,357,75,2,,,,A07.8: Eligibility information. Date of QC 2.
qc_date2_str,QC_DATE2_STR,NA,NA,gems1_huas_data.sas7bdat,chr,356,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),,
qc_mo,QC_MO,NA,NA,gems1_huas_data.sas7bdat,num,27,NA,NA,,,,A07.9: Eligibility information. Month of QC date.
qc_yr,QC_YR,NA,NA,gems1_huas_data.sas7bdat,num,29,NA,NA,,,,A07.9: Eligibility information. Year of QC date.
qc2_da,QC2_DA,NA,NA,gems1_huas_data.sas7bdat,num,359,NA,NA,,,,A07.9: Eligibility information. Day of QC2 date.
qc2_mo,QC2_MO,NA,NA,gems1_huas_data.sas7bdat,num,358,NA,NA,,,,A07.9: Eligibility information. Month of QC2 date.
qc2_yr,QC2_YR,NA,NA,gems1_huas_data.sas7bdat,num,360,NA,NA,,,,A07.9: Eligibility information. Year of QC2 date.
rank_ctr1,RANK_CTR1,NA,NA,gems1_huas_data.sas7bdat,num,141,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 1st choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_ctr2,RANK_CTR2,NA,NA,gems1_huas_data.sas7bdat,num,143,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_ctr3,RANK_CTR3,NA,NA,gems1_huas_data.sas7bdat,num,145,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 3nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_doc,RANK_DOC,NA,NA,gems1_huas_data.sas7bdat,num,137,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Unlicensed practitioner/village doctor/bush doctor/village health worker. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_friend,RANK_FRIEND,NA,NA,gems1_huas_data.sas7bdat,num,135,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Friend/relative. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_healr,RANK_HEALR,NA,NA,gems1_huas_data.sas7bdat,num,136,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Traditional healer. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_othr,RANK_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,147,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Other, specify. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_othspec,RANK_OTHSPEC,NA,NA,gems1_huas_data.sas7bdat,chr,148,NA,NA,,,,E31: Health care utilization. Specify (if rank_othr is ranked). Only complete for children who had diarrhea in the last 2 weeks
rank_pharm,RANK_PHARM,NA,NA,gems1_huas_data.sas7bdat,num,134,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Pharmacy. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_privdoc,RANK_PRIVDOC,NA,NA,gems1_huas_data.sas7bdat,num,138,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Licensed practitioner/private doctor (not at hospital). Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
rank_remdy,RANK_REMDY,NA,NA,gems1_huas_data.sas7bdat,num,139,NA,NA,,,,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Bought a remedy/drug at the shop/market. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34"
relat_spec,RELAT_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,34,NA,NA,,,"=Blank/missing, ADOPTED CHILD=Adoptive parent, CO-WIFE=Co-wife, CORE WIFE=Co-wife, COUSIN=Cousin, COUSIN OF MOTHER=Cousin, HALF SISTER=Half-sister, MOTHER'S AUNT=Mother's Aunt, SISTER IN LAW=Sister-in-law, STEP MOTHER=Step-mother, STEP-MOTHER=Step-mother,",B08.1: Household information. Specify other relationship to child (if relation=10).
relation,RELATION,NA,NA,gems1_huas_data.sas7bdat,num,33,NA,NA,,,"1=Mother, 10=Other relation by blood or marriage, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation",B08: Household information. What is your relationship to the child.
remdy_consult,REMDY_CONSULT,NA,NA,gems1_huas_data.sas7bdat,num,224,NA,NA,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation when buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
remdy_diag,REMDY_DIAG,NA,NA,gems1_huas_data.sas7bdat,num,226,NA,NA,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics related to remedies/drugs bought at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
remdy_drug,REMDY_DRUG,NA,NA,gems1_huas_data.sas7bdat,num,225,NA,NA,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for remedies/drugs bought at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
remdy_othr,REMDY_OTHR,NA,NA,gems1_huas_data.sas7bdat,num,228,NA,NA,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges related to buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
remdy_spec,REMDY_SPEC,NA,NA,gems1_huas_data.sas7bdat,chr,140,NA,NA,,,,E31: Health care utilization. Specify remedy/drug (if rank_remdy is ranked). Only complete for children who had diarrhea in the last 2 weeks
remdy_total,REMDY_TOTAL,NA,NA,gems1_huas_data.sas7bdat,num,229,NA,NA,,,,"F42.5: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses related to buying remedies/drugs at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns."
remdy_trnsprt,REMDY_TRNSPRT,NA,NA,gems1_huas_data.sas7bdat,num,227,NA,NA,,,,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a shop/market to buy remedies/drugs. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency."
rnd_start,NA,RND_START,NA,gems1_huas_lite_data_6_sites.sas7bdat,date,NA,5,NA,,variable not in HUAS codebook (CRF01 HUAS),,
rnd_stop,NA,RND_STOP,NA,gems1_huas_lite_data_6_sites.sas7bdat,date,NA,6,NA,,variable not in HUAS codebook (CRF01 HUAS),,
round,NA,ROUND,round,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,NA,4,73,,variable not in HUAS codebook (CRF01 HUAS),"1, 2, 3, 4, 5, 6",
rsn_spec,RSN_SPEC,RSN_SPECIFY,rsn_specify,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,22,13,14,variables 'rsn_spec' & 'rsn_specify' should map to the same display label & IRI,,,A07.1: Eligibility information. reason not conducted.
rundate,RunDate,NA,NA,gems1_huas_data.sas7bdat,num,361,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),17602,
sd_blood,SD_BLOOD,NA,NA,gems1_huas_data.sas7bdat,num,70,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Blood in stool. Select all that apply.
sd_dehydr,SD_DEHYDR,NA,NA,gems1_huas_data.sas7bdat,num,74,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Presence of dehydration. Select all that apply.
sd_dk,SD_DK,NA,NA,gems1_huas_data.sas7bdat,num,75,NA,NA,,,"0=No, 1=Yes, NA=NA",C19.1: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Don't know. Select all that apply.
sd_fever,SD_FEVER,NA,NA,gems1_huas_data.sas7bdat,num,72,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Fever associated with diarrhea. Select all that apply.
sd_lrgperday,SD_LRGPERDAY,NA,NA,gems1_huas_data.sas7bdat,num,71,NA,NA,,,"0=No, 1=Yes, NA=NA",C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  A large number or amount of stools per day. Select all that apply.
