<<<<<<< .mine,,,,,
variable,dataFile,codebookDescription,suggested_IRI,suggested_label,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_ab,gems1_huas_data.sas7bdat,E41.1: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Antibiotics. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_dk,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Don't know. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_intfld,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Intravenous fluids. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_medinj,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Medicine by injection. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015082,ORALITE or ORS,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_ors,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? ORS. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_othr,gems1_huas_data.sas7bdat,E41.3: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Other treatment. Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015433,Last day of diarrhea in the past 2 weeks,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015428,1st day of diarrhea in the past 2 weeks,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010356,Symptoms in the last 7 days,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0022030,Traveled in the 2 weeks before most recent malaria episode,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015104,Asking for donations outside the household,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0015112,Asking for donations outside the household,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0000358,Additional job in the past month,
hosptrt_zinc,gems1_huas_data.sas7bdat,E41: Health care utilization. Multifilter: Did the child receive any of the following from the hospital/health facility to treat the diarrhea? Zinc  . Skip if E31 hspctr1/hspctr2/hspctr3=NA/blank. Check all that apply. Only complete for children who had diarrhea in the last 2 weeks.,http://purl.obolibrary.org/obo/EUPATH_0010173,Other hospital or health center,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house Residents in dwelling,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000087,Household information,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0015001,Bicycle or rickshaw,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0010116,Visible feces elsewhere in house or yard,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,
house_bike,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house Residents in dwelling,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000087,Household information,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0011113,Daily vitamin A (ug),
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0010116,Visible feces elsewhere in house or yard,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0000641,Mouse number in a cage,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0011677,Vitamin A fruits or vegetables,
house_boat,gems1_huas_data.sas7bdat,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,http://purl.obolibrary.org/obo/EUPATH_0015098,Bought a remedy or drug,
