variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
pyuriaae,Individual level database FINAL,discard,,(sum) pyuriaAE,"0,1,2,3",NA,,,,aggregate observation data,Individual level database FINAL::pyuriaae
qpcrcat,BC-3 mothers all visits database FINAL,discard,,qPCR parasite density categories,"0=Negative, 1=0.001-<0.01, 2=0.01-<0.05, 3=0.05-<0.1, 4=0.1-<1, 5=1-<10, 6=10-<100, 7=100-<1000, 8=>1000",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::qpcrcat
qpcrcat,BC-3 mothers expanded database FINAL,keep,,qPCR parasite density categories,"0=Negative, 1=0.001-<0.01, 2=0.01-<0.05, 3=0.05-<0.1, 4=0.1-<1, 5=1-<10, 6=10-<100, 7=100-<1000, 8=>1000",NA,,,,,BC-3 mothers expanded database FINAL::qpcrcat
qpcrdich,BC-3 mothers all visits database FINAL,discard,,qPCR dichotomized,"0=Negative(<0.001),1=Positive(=>0.001)",NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::qpcrdich
qpcrdich,BC-3 mothers expanded database FINAL,keep,,qPCR dichotomized,"0= Negative (<0.001), 1=Positive (>=0.001)",NA,,,,,BC-3 mothers expanded database FINAL::qpcrdich
qpcrdichenroll,Individual level database FINAL,discard,,qPCR dichotomized,"0= Negative (<0.001), 1=Positive (>=0.001)",NA,,,,DROP - Use expanded,Individual level database FINAL::qpcrdichenroll
qpcrparsdens,BC-3 mothers all visits database FINAL,discard,,qPCR parasite density,,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::qpcrparsdens
qpcrparsdens,BC-3 mothers expanded database FINAL,keep,,qPCR parasite density,,NA,,,,,BC-3 mothers expanded database FINAL::qpcrparsdens
qtcprolongation,Individual level database FINAL,discard,,(sum) QTcprolongation,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::qtcprolongation
qtcweek,BC-3 mothers expanded database FINAL,discard,,QTcweek,"20,28,36",NA,,,,,BC-3 mothers expanded database FINAL::qtcweek
radio,BC3_Household_Survey_Data,keep,, a radio?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::radio
radiodich,BC3_Household_Survey_Data,discard,,Radio?,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::radiodich
rbusia,BC-3 screening database FINAL,discard,,"Residence within Busia District, Uganda","0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::rbusia
rdist,BC-3 mothers all visits database FINAL,discard,,Respiratory distress,1=checked,NA,,,,All NA's,BC-3 mothers all visits database FINAL::rdist
rdist,BC-3 mothers delivery database FINAL,discard,,Respiratory distress,1=checked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::rdist
rdist,BC-3 childs all visit database FINAL,keep,,Respiratory distress,1=checked,NA,,,,,BC-3 childs all visit database FINAL::rdist
renal,BC-3 enrollment database FINAL,keep,,Renal disease,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::renal
resp,BC-3 enrollment database FINAL,discard,,Resp,,NA,,,,All NA's,BC-3 enrollment database FINAL::resp
resp,BC-3 mothers all visits database FINAL,keep,,Resp,,NA,,,,,BC-3 mothers all visits database FINAL::resp
resp,BC-3 childs all visit database FINAL,keep,,Resp,,NA,,,,Difference betweenthis and resprate?,BC-3 childs all visit database FINAL::resp
respdur,BC-3 enrollment database FINAL,discard,,Resp Duration,,NA,,,,All NA's,BC-3 enrollment database FINAL::respdur
respdur,BC-3 mothers all visits database FINAL,keep,,Resp Duration,,NA,,,,,BC-3 mothers all visits database FINAL::respdur
respdur,BC-3 childs all visit database FINAL,keep,,Resp Duration,,NA,,,,,BC-3 childs all visit database FINAL::respdur
respgrade,BC-3 enrollment database FINAL,discard,,Resp Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,All NA's,BC-3 enrollment database FINAL::respgrade
respgrade,BC-3 mothers all visits database FINAL,keep,,Resp Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::respgrade
respgrade,BC-3 childs all visit database FINAL,keep,,Resp Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::respgrade
respiratorydistress,Individual level database FINAL,discard,,(sum) respiratorydistress,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::respiratorydistress
resprate,BC-3 childs all visit database FINAL,keep,,Respiratory rate,,NA,,,,Difference between this and resp?,BC-3 childs all visit database FINAL::resprate
rgspray,BC3_Household_Survey_Data,discard,,what was the primary reason that you did not grant permission to spray the inter,#NAME?,NA,,,,All NA's,BC3_Household_Survey_Data::rgspray
rheumatic,BC-3 enrollment database FINAL,keep,,History of Rheumatic fever,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::rheumatic
rogerson,BC-3 mothers delivery database FINAL,keep,,Placental malaria by Rogerson criteria,"0=No parasites or pigment, 1=Parasites-no pigment in monocytes or fibrin, 2=Parasites-pigment in monocytes +/- fibrin, 3=parasites- pigment in fibrin only, 4=pigment only",NA,,,,,BC-3 mothers delivery database FINAL::rogerson
rogerson,Individual level database FINAL,discard,,Placental malaria by Rogerson criteria,"0=No parasites or pigment, 1=Parasites-no pigment in monocytes or fibrin, 2=Parasites-pigment in monocytes +/- fibrin, 3=parasites- pigment in fibrin only, 4=pigment only",NA,,,,DROP - Use delivery,Individual level database FINAL::rogerson
rogerson,BC-3 childs expanded database FINAL,discard,,Placental malaria by Rogerson criteria,"0=No parasites or pigment, 1=Parasites-no pigment in monocytes or fibrin, 2=Parasites-pigment in monocytes +/- fibrin, 3=parasites- pigment in fibrin only, 4=pigment only",NA,dup,,,DROP - Use children individual,BC-3 childs expanded database FINAL::rogerson
rogerson,BC-3 children individual level database FINAL,keep,,Placental malaria by Rogerson criteria,"0=No parasites or pigment, 1=Parasites-no pigment in monocytes or fibrin, 2=Parasites-pigment in monocytes +/- fibrin, 3=parasites- pigment in fibrin only, 4=pigment only",NA,,,,map to Rogerson along with variable from delivery,BC-3 children individual level database FINAL::rogerson
routinebs,BC-3 childs expanded database FINAL,discard,,Routine visit when BS done,"0=No,1=Yes",NA,,,,,BC-3 childs expanded database FINAL::routinebs
routinehb,BC-3 childs expanded database FINAL,discard,,Date routine hemoglobin testing done,1,NA,,,,,BC-3 childs expanded database FINAL::routinehb
rvisit,BC-3 mothers all visits database FINAL,discard,,is today a routine visit and therefore the mother due for study drugs,"0=No,
1=Yes",NA,,,,,BC-3 mothers all visits database FINAL::rvisit
saslnum,BC3_Household_Survey_Data,keep,,how many people sleep in the same bed/sleeping area as the study participant und,,NA,,,,,BC3_Household_Survey_Data::saslnum
saslnum5,BC3_Household_Survey_Data,keep,,how many of those people are under 5 years old (excluding the study participant),,NA,,,,,BC3_Household_Survey_Data::saslnum5
scooter,BC3_Household_Survey_Data,keep,,a motorcycle or motor scooter?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::scooter
sdelig,BC-3 mothers all visits database FINAL,keep,,Study drug eligibility,1=Dispensed,NA,,,,,BC-3 mothers all visits database FINAL::sdelig
sdelig,BC-3 mothers expanded database FINAL,discard,,Study drug eligibility,"0=Not enrolled,1=Dispensed,2=Missed visit,3=Delivery/Withdrawn",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::sdelig
sdgestage,BC-3 mothers all visits database FINAL,discard,,Gestational age for administering study drugs,,NA,,,,Drop ,BC-3 mothers all visits database FINAL::sdgestage
sdgestage,BC-3 mothers expanded database FINAL,discard,,Gestational age for administering study drugs,"16,20,24,28,32,36,40",NA,,,,DROP - Use all visits,BC-3 mothers expanded database FINAL::sdgestage
senergy,BC3_Household_Survey_Data,keep,,what is the main source of energy for lighting in the household?,"Paraffin - wick lamp, paraffin - hurricane lamp, solar, electricity,candles, torch,firewood, skipped",NA,,,,,BC3_Household_Survey_Data::senergy
senergydich,BC3_Household_Survey_Data,discard,,what is the main source of energy for lighting in the household?,"0=other, 1=electricity or solar",NA,,,,,BC3_Household_Survey_Data::senergydich
sex1,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex1
sex2,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex2
sex3,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex3
sex4,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex4
sex5,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex5
sex6,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex6
sex7,BC-3 enrollment database FINAL,keep,,Sex,"1=Male,
2=Female",NA,,,,,BC-3 enrollment database FINAL::sex7
sga,BC-3 mothers delivery database FINAL,keep,,Small for gestational age if live birth,"0=No,
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::sga
sga,Individual level database FINAL,discard,,Small for gestational age if live birth,"0=No,
1=Yes",NA,,,,DROP - Use delivery,Individual level database FINAL::sga
sgab,Individual level database FINAL,keep,,Small for gestational age if singleton live birth based on 2014 Lancet article,"0=No,
1=Yes",NA,,,,,Individual level database FINAL::sgab
sickled,BC-3 enrollment database FINAL,keep,,Sickle Cell disease,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::sickled
skin,BC-3 enrollment database FINAL,discard,,Skin,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::skin
skin,BC-3 mothers all visits database FINAL,keep,,Skin,,NA,,,,,BC-3 mothers all visits database FINAL::skin
skin,BC-3 childs all visit database FINAL,keep,,Skin,,NA,,,,,BC-3 childs all visit database FINAL::skin
skindur,BC-3 enrollment database FINAL,discard,,Skin Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::skindur
skindur,BC-3 mothers all visits database FINAL,keep,,Skin Duration,,NA,,,,,BC-3 mothers all visits database FINAL::skindur
skindur,BC-3 childs all visit database FINAL,keep,,Skin Duration,,NA,,,,,BC-3 childs all visit database FINAL::skindur
skingrade,BC-3 enrollment database FINAL,discard,,Skin Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::skingrade
skingrade,BC-3 mothers all visits database FINAL,keep,,Skin Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::skingrade
skingrade,BC-3 childs all visit database FINAL,keep,,Skin Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::skingrade
slareas,BC3_Household_Survey_Data,keep,,how many sleeping areas are in the room where the study participant sleeps?,,NA,,,,,BC3_Household_Survey_Data::slareas
sleep,BC3_Household_Survey_Data,keep,,where does the study participant usually sleep?,"1=Directly on ground, 2=on matress/mat on the ground, 3=on a bed raised from ground,99=no response, -9=skipped",NA,,,,,BC3_Household_Survey_Data::sleep
slpnet1,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net1 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet1
slpnet10,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net10 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet10
slpnet2,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net2 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet2
slpnet3,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net3 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet3
slpnet4,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net4 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet4
slpnet5,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net5 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet5
slpnet6,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net6 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet6
slpnet7,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net7 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet7
slpnet8,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net8 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet8
slpnet9,BC3_Household_Survey_Data,discard,,did anyone sleep under this mosquito net9 last night?,"1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::slpnet9
smal,BC-3 mothers all visits database FINAL,discard,,Complicated malaria Severe anemia,1=checked,NA,,,,All NA's,BC-3 mothers all visits database FINAL::smal
smal,BC-3 mothers delivery database FINAL,discard,,Severe anemia,1=checked,NA,,,,All NA's,BC-3 mothers delivery database FINAL::smal
smal,BC-3 childs all visit database FINAL,keep,,Severe anemia,1=checked,NA,,,,,BC-3 childs all visit database FINAL::smal
smnet1,BC3_Household_Survey_Data,discard,,"since you got the mosquito net1, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet1
smnet10,BC3_Household_Survey_Data,discard,,"since you got the mosquito net10, was it ever soaked or dipped in a liquid to re","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet10
smnet2,BC3_Household_Survey_Data,discard,,"since you got the mosquito net2, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet2
smnet3,BC3_Household_Survey_Data,discard,,"since you got the mosquito net3, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet3
smnet4,BC3_Household_Survey_Data,discard,,"since you got the mosquito net4, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet4
smnet5,BC3_Household_Survey_Data,discard,,"since you got the mosquito net5, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet5
smnet6,BC3_Household_Survey_Data,discard,,"since you got the mosquito net6, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet6
smnet7,BC3_Household_Survey_Data,discard,,"since you got the mosquito net7, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet7
smnet8,BC3_Household_Survey_Data,discard,,"since you got the mosquito net8, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet8
smnet9,BC3_Household_Survey_Data,discard,,"since you got the mosquito net9, was it ever soaked or dipped in a liquid to rep","1=yes, 2=no, 8=not sure, -9= skipped",NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::smnet9
sofa,BC3_Household_Survey_Data,keep,,sofa set?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::sofa
sofadich,BC3_Household_Survey_Data,discard,,Sofa?,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::sofadich
spcfro1,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net1,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro1
spcfro10,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net10,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro10
spcfro2,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net2,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro2
spcfro3,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net3,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro3
spcfro4,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net4,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro4
spcfro5,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net5,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro5
spcfro6,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net6,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro6
spcfro7,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net7,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro7
spcfro8,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net8,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro8
spcfro9,BC3_Household_Survey_Data,discard,,specify other sources of the mosquito net9,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::spcfro9
species,BC-3 enrollment database FINAL,discard,,Species,"0=Plasmodium Falciparum,
1=Plasmodium Malariae,
2=Plasmodium Ovale,
3=Plasmodium vivax
9=Unknown",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::species
species,BC-3 mothers all visits database FINAL,keep,,Species,"0=Plasmodium Falciparum,
1=Plasmodium Malariae,
2=Plasmodium Ovale,
3=Plasmodium vivax, 4=Mixed,
9=Unknown",NA,,,,,BC-3 mothers all visits database FINAL::species
species,BC-3 childs all visit database FINAL,keep,,Species,"0=Plasmodium Falciparum,
1=Plasmodium Malariae,
2=Plasmodium Ovale,
3=Plasmodium vivax
9=Unknown",NA,,,,How was this estimated? Similar variable? By microscopy?,BC-3 childs all visit database FINAL::species
spontab,BC-3 mothers delivery database FINAL,keep,,Death of live infant by 28 days,"0,1",NA,,,,,BC-3 mothers delivery database FINAL::spontab
spontab,Individual level database FINAL,discard,,Spontaneous abortion <28 weeks,"0=No,
1=Yes",NA,,,,DROP - Use delivery,Individual level database FINAL::spontab
spontan,BC-3 enrollment database FINAL,discard,,Spontaneous,,NA,,,,DROP - Use calculated version,BC-3 enrollment database FINAL::spontan
sreaves,BC3_Household_Survey_Data,discard,,observation: does the room have eaves?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::sreaves
srentry,BC3_Household_Survey_Data,keep,,how many entryways into the room are there,,NA,,,,,BC3_Household_Survey_Data::srentry
srslnum,BC3_Household_Survey_Data,keep,,"usually, how many people sleep in the same room as the study participant (exclud",,NA,,,,,BC3_Household_Survey_Data::srslnum
srslnum5,BC3_Household_Survey_Data,keep,,how many of those people are under 5 years old (excluding the study participant),,NA,,,,,BC3_Household_Survey_Data::srslnum5
srwindow,BC3_Household_Survey_Data,keep,,observation: how many windows are in the room,,NA,,,,,BC3_Household_Survey_Data::srwindow
startime,BC3_Household_Survey_Data,discard,,start time of interview,Time,NA,,,,,BC3_Household_Survey_Data::startime
stillbirth,Individual level database FINAL,discard,,(sum) stillbirth,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::stillbirth
stillbirthdich,BC-3 mothers delivery database FINAL,keep,,Whether stillbirth occurred dichotomized if not spontaneous abortion,"0=No,
1=Yes",NA,,,,,BC-3 mothers delivery database FINAL::stillbirthdich
stillbirthdich,Individual level database FINAL,discard,,Whether stillbirth occurred dichotomized if not spontaneous abortion,"0=No,
1=Yes",NA,,,,DROP - Use delivery,Individual level database FINAL::stillbirthdich
stool,BC-3 childs all visit database FINAL,keep,,Stool collected at 4 and 52 weeks,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined",NA,,,,,BC-3 childs all visit database FINAL::stool
stoptime,BC3_Household_Survey_Data,discard,,end time of interview,Time,NA,,,,,BC3_Household_Survey_Data::stoptime
studydrugdate,BC-3 mothers all visits database FINAL,discard,,Date study drugs started,date,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::studydrugdate
studydrugdate,BC-3 mothers expanded database FINAL,keep,,Date study drugs first given,Date,NA,,,,,BC-3 mothers expanded database FINAL::studydrugdate
studydrugdate,Individual level database FINAL,discard,,Date study drugs started,date,NA,,,,DROP - Use expanded,Individual level database FINAL::studydrugdate
studystatus,BC-3 childs expanded database FINAL,discard,,Study status,"1=stillbirth, 2=Died on day0, 3=Lost to follow-up on day0, 4=Include in analyses ( at least 1 day of follow-up)",NA,,,,,BC-3 childs expanded database FINAL::studystatus
surgdesc,BC-3 childs hospitalizations FINAL,keep,,surgery describe,text,NA,,,,,BC-3 childs hospitalizations FINAL::surgdesc
surgery,BC-3 childs hospitalizations FINAL,keep,,Surgery,"0=No,
1=Yes",NA,,,,,BC-3 childs hospitalizations FINAL::surgery
surveydone,BC3_Household_Survey_Data,discard,,Whether household surveydone,"0=No, 1=Yes      ",NA,,,,,BC3_Household_Survey_Data::surveydone
survivaltime,BC-3 children individual level database FINAL,discard,,Time to event for survival analysis,,NA,,,,DROP,BC-3 children individual level database FINAL::survivaltime
swater,BC3_Household_Survey_Data,keep,,what is the main source of drinking water for members of your household?,"borehole, public tap",NA,,,,,BC3_Household_Survey_Data::swater
syph,BC-3 enrollment database FINAL,discard,,Syphilis,"0=Negative,
1=Positive,
2=No result",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::syph
syph,BC-3 mothers all visits database FINAL,keep,,Syphilis,"0=Negative, 1=positive",NA,,,,,BC-3 mothers all visits database FINAL::syph
syptest,BC-3 enrollment database FINAL,keep,,Syphilis test,"0=Not collected,
1=Collected
",NA,,,,,BC-3 enrollment database FINAL::syptest
tbscord,BC-3 mothers delivery database FINAL,keep,,Thick blood smear from cord blood,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::tbscord
tbsperi,BC-3 mothers delivery database FINAL,keep,,Thick and thin blood smear from peripheral blood,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::tbsperi
tbspla,BC-3 mothers delivery database FINAL,keep,,Thick blood smear from placental blood,"0=Not made, 1=Made
",NA,,,,,BC-3 mothers delivery database FINAL::tbspla
temp,BC-3 enrollment database FINAL,discard,,Temperature,,NA,,,,DROP - Use expanded,BC-3 enrollment database FINAL::temp
temp,BC-3 mothers all visits database FINAL,discard,,Temperature,,NA,,,,DROP - Use expanded,BC-3 mothers all visits database FINAL::temp
temp,BC-3 mothers expanded database FINAL,keep,,Temperature,,NA,,,,,BC-3 mothers expanded database FINAL::temp
temp,BC-3 childs all visit database FINAL,keep,,Temperature,,NA,,,,,BC-3 childs all visit database FINAL::temp
temp,BC-3 childs expanded database FINAL,discard,,Temperature,,NA,,,,DROP - Use all visits,BC-3 childs expanded database FINAL::temp
tempgrade,BC-3 enrollment database FINAL,discard,,Temperature grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::tempgrade
tempgrade,BC-3 mothers all visits database FINAL,keep,,Temperature grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::tempgrade
tempgrade,BC-3 childs all visit database FINAL,keep,,Temperature grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 childs all visit database FINAL::tempgrade
term,BC-3 enrollment database FINAL,discard,,Term,,NA,,,,DROP - Use calculated version,BC-3 enrollment database FINAL::term
tfaclty,BC3_Household_Survey_Data,keep,,what kind of toilet facility do members of your household usually use?,"Covered pit latrine with slab, VIP latrine, covered pit latrine no slab, uncovered pit latrine with slab, uncovered pit latrine no slab,no facility/bush/field",NA,,,,,BC3_Household_Survey_Data::tfaclty
tfacltydich,BC3_Household_Survey_Data,keep,,what kind of toilet facility do members of your household usually use?,"0=uncovered pit latrine, 1= VIP or covered latrin",NA,,,,,BC3_Household_Survey_Data::tfacltydich
therapy,BC-3 screening database FINAL,discard,,Prior SP preventive therapy or any other antimalarial therapy during pregnancy,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::therapy
thrombocytopenia,Individual level database FINAL,discard,,(sum) thrombocytopenia,"0,1",NA,,,,aggregate observation data,Individual level database FINAL::thrombocytopenia
timecat,BC-3 mothers expanded database FINAL,keep,,Observaton time in relation to study drugs and delievery,"0=Pregnant (before study drugs given), 1=pregnant (after study drugs given), 3=Postpartum",NA,,,,,BC-3 mothers expanded database FINAL::timecat
tobacco,BC-3 enrollment database FINAL,keep,,Chew/smoke tobacco,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::tobacco
todhrs,BC-3 mothers delivery database FINAL,keep,,Time of delivery: Hours,,NA,,,,,BC-3 mothers delivery database FINAL::todhrs
todmin,BC-3 mothers delivery database FINAL,discard,Combine with todhrs in that variable and drop this one,Time of delivery: Minutes,,NA,,,,,BC-3 mothers delivery database FINAL::todmin
totvisit,BC3_Household_Survey_Data,discard,,total number of visits,"1,2,3,4",NA,,,,,BC3_Household_Survey_Data::totvisit
tppwalls,BC3_Household_Survey_Data,discard,,"how many months ago were the walls plastered or painted?if less than one month,",,NA,,,,All NA's,BC3_Household_Survey_Data::tppwalls
treatment,BC-3 mothers expanded database FINAL,keep,,Antimalarial treatment,"0=No malaria,1=Uncomplicated(AL),2=Complicated malaria(Quinine),3=AL treatment failure,4=Quinine/artesunate treatment failure",NA,,,,,BC-3 mothers expanded database FINAL::treatment
tsmnet1,BC3_Household_Survey_Data,discard,,how many months ago was the net1 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet1
tsmnet10,BC3_Household_Survey_Data,discard,,how many months ago was the net10 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet10
tsmnet2,BC3_Household_Survey_Data,discard,,how many months ago was the net2 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet2
tsmnet3,BC3_Household_Survey_Data,discard,,how many months ago was the net3 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet3
tsmnet4,BC3_Household_Survey_Data,discard,,how many months ago was the net4 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet4
tsmnet5,BC3_Household_Survey_Data,discard,,how many months ago was the net5 last soaked or dipped?,,NA,,,,in repeated hh measures bulk download file,BC3_Household_Survey_Data::tsmnet5
