colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesforOnt
973,,2,F5_AGE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000644,Age (days),,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age,Num,GEMS1
975,,19,F5_STATUS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010061,60 day follow-up conducted,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,What was the outcome of the follow-up interview?,0,GEMS1
976,,20,F5_NOT_CONDUCT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010062,Reason follow-up interview not conducted,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,"If ""Not conducted"", what was the reason?",0,GEMS1
981,,2,F5_RELATION,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010064,Interviewee relationship to child; 60 day follow-up,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,What is your relationship to the Child?,1,GEMS1
983,,21,F5_CHILD_HEALTH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010066,Child health at 60 day follow-up visit,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,How is Childs health since the last study visit?,,GEMS1
984,,2,F5_DATE_DEATH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000150,Date of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,"If child died, what is the date of death?",Char,GEMS1
985,,3,F5_PLACE_DEATH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010067,Place of death,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,"If child died, what was the place of death?",0,GEMS1
986,,4,F5_DIED_FACILITY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010068,Health facility code,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,"If child died in health facility, health facility 3-digit code?",Num,GEMS1
987,,5,F5_FACILITY_SPEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010069,Health facility name,,Participant,Death information,http://purl.obolibrary.org/obo/EUPATH_0000671,"If child died in health facility, specify.",Char,GEMS1
988,,4,F5_EXP_DRH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015238,Diarrhea,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,Since the last study visit has Child experienced any of the following illnesses: Diarrhea?,0,GEMS1
989,,1,F5_EXP_DRH_VISIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015247,Health facility for diarrhea,,Observation,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,"Since the last study visit if Child has experience illness, did they visit a health facility?",0,GEMS1
990,,5,F5_EXP_DYS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015239,Dysentery,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,Since the last study visit has Child experienced any of the following illnesses: Dysentery?,0,GEMS1
991,,2,F5_EXP_DYS_VISIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015248,Health facility for dysentery,,Observation,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,"Since the last study visit if Child has experience illness, did they visit a health facility?",0,GEMS1
992,,3,F5_EXP_COU,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015240,Cough with difficult breathing,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,Since the last study visit has Child experienced any of the following illnesses: Cough with difficult breathing,0,GEMS1
993,,3,F5_EXP_COU_VISIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015249,Health facility for cough,,Observation,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,"Since the last study visit if Child has experience illness, did they visit a health facility?",0,GEMS1
994,,6,F5_EXP_FEVER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015241,Fever,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,Since the last study visit has Child experienced any of the following illnesses: Fever with unknown origin,0,GEMS1
995,,4,F5_EXP_FEVER_VISIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015250,Health facility for fever,,Observation,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,"Since the last study visit if Child has experience illness, did they visit a health facility?",0,GEMS1
996,,8,F5_EXP_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015242,Other illness,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,Since the last study visit has Child experienced any of the following illnesses: Other?,0,GEMS1
997,,5,F5_EXP_OTHR_VISIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015251,Health facility for other,,Observation,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,"Since the last study visit if Child has experience illness, did they visit a health facility?",0,GEMS1
999,,9,F5_EXP_OTHR2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015243,Other illness,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,"Since the last study visit if Child has experience illness, did they visit a health facility? Other 2?",0,GEMS1
1000,,6,F5_EXP_OTHR2_VISIT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015252,Health facility for other,,Observation,Visited health facility,http://purl.obolibrary.org/obo/EUPATH_0010395,"Since the last study visit if Child has experience illness, did they visit a health facility? Other 2?",0,GEMS1
1002,,1,F5_DIAG_TYP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015233,Typhoid,,Observation,Previous diagnosis,http://purl.obolibrary.org/obo/EUPATH_0010393,"To your knowledge, was the child diagnosed with any of the following at a health center facility? Typhoid",0,GEMS1
1003,,2,F5_DIAG_MAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015234,Malaria,,Observation,Previous diagnosis,http://purl.obolibrary.org/obo/EUPATH_0010393,"To your knowledge, was the child diagnosed with any of the following at a health center facility? Malaria",0,GEMS1
1004,,3,F5_DIAG_PNE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015235,Pneumonia,,Observation,Previous diagnosis,http://purl.obolibrary.org/obo/EUPATH_0010393,"To your knowledge, was the child diagnosed with any of the following at a health center facility? Pneumonia",0,GEMS1
1005,,4,F5_DIAG_MENG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015236,Meningitis,,Observation,Previous diagnosis,http://purl.obolibrary.org/obo/EUPATH_0010393,"To your knowledge, was the child diagnosed with any of the following at a health center facility? Meningitis",0,GEMS1
1006,,5,F5_DIAG_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015237,Other diagnosis,,Observation,Previous diagnosis,http://purl.obolibrary.org/obo/EUPATH_0010393,"To your knowledge, was the child diagnosed with any of the following at a health center facility? Other",0,GEMS1
1008,,7,F5_EXP_RECTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015244,Rectal prolapse,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,"Since the last study visit, has child experienced any of the following: Rectal prolapse",,GEMS1
1009,,2,F5_EXP_CONVUL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015245,Convulsions,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,"Since the last study visit, has child experienced any of the following: Convulsions",,GEMS1
1010,,1,F5_EXP_ARTHRITIS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015246,Arthritis,,Observation,Illness since enrollment visit,http://purl.obolibrary.org/obo/EUPATH_0010394,"Since the last study visit, has child experienced any of the following: Arthritis [Swollen, painful joins]",,GEMS1
1011,,24,F5_WT_CHILD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010070,Weight of caretaker + child (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight 0-23 months Caretaker + Child,Num,GEMS1
1012,,25,F5_WT_CARE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010071,Weight of caretaker alone (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight 0-23 months Caretaker alone,Num,GEMS1
1013,,1,F5_WT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight of Child Alone 24-59 Months,Num,GEMS1
1014,,1,F5_WEIGHT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated Weight,Num,GEMS1
1015,,8,F5_WAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000733,Weight for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight for Age,Num,GEMS1
1016,,1,F5_WAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015121,WAZ <-6 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _ZWAZ<-6 or _ZWAZ>5,0,GEMS1
1017,,17,F5_HT1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010075,"Height, 1st (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1b. Height 1st,Num,GEMS1
1018,,18,F5_HT2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010076,"Height, 2nd (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1b. Height 2nd,Num,GEMS1
1019,,19,F5_HT3,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010077,"Height, 3rd (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1b. Height 3rd,Num,GEMS1
1020,,2,F5_HEIGHT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010078,Height; mean (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated mean height,Num,GEMS1
1021,,3,F5_HEIGHT_MEDIAN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010079,Height; median (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated median height,Num,GEMS1
1022,,11,F5_HAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000689,Length/height for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Length/height-for-age z-score,Num,GEMS1
1023,,2,F5_HAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015122,HAZ <-6 or >6,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _HAZ<-6 or _HAZ>6,0,GEMS1
1024,,9,F5_WHZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000734,Weight for length/height z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight-for-length/height z-score,Num,GEMS1
1025,,3,F5_WHZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015123,WHZ <-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _WHZ<-5 or _WHZ>5,0,GEMS1
1026,,12,F5_MED_HAZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010082,Length/height for age z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Length/height-for-age z-score (median ht),Num,GEMS1
1027,,4,F5_MED_HAZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015124,HAZ <-6 or >6 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _HAZ<-6 or _HAZ>6 (median ht),0,GEMS1
1028,,10,F5_MED_WHZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010083,Weight for length/height z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Weight-for-length/height z-score (median ht),Num,GEMS1
1029,,5,F5_MED_WHZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015125,WHZ <-5 or >5 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _WHZ<-5 or _WHZ>5 (median ht),0,GEMS1
1030,,20,F5_MUAC1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010084,"MUAC, 1st (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1c. MUAC 1st,Num,GEMS1
1031,,21,F5_MUAC2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010085,"MUAC, 2nd (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1c. MUAC 2nd,Num,GEMS1
1032,,22,F5_MUAC3,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010086,"MUAC, 3rd (cm)",,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: 1c. MUAC 3rd,Num,GEMS1
1033,,6,F5_MUAC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010087,MUAC; mean (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated mean MUAC,Num,GEMS1
1034,,7,F5_MUAC_MEDIAN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010088,MUAC; median (cm),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated median MUAC,Num,GEMS1
1035,,15,F5_MUAC_AGEZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000710,MUAC for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Arm circumference-for-age z score,Num,GEMS1
1036,,6,F5_MUAC_AGEZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015126,MUAC for age z-score <-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _ZAC<-5 or _ZAC>5,0,GEMS1
1037,,16,F5_MED_MUAC_AGEZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010090,MUAC for age z-score (median ac),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Arm circumference-for-age z score (median ac),Num,GEMS1
1038,,7,F5_MED_MUAC_AGEZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015127,MUAC for age z-score <-5 or >5 (median ac),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _ZAC<-5 or _ZAC>5 (median ac),0,GEMS1
1039,,4,F5_BMI,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000661,BMI (kg/m**2),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated BMI=weight / squared(_CLENHEI),Num,GEMS1
1040,,13,F5_BMIZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000662,BMI for age z-score,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: BMI-for-age z-score,Num,GEMS1
1041,,8,F5_BMIZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015128,BMI z-score<-5 or >5,,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _ZBMI<-5 or _ZBMI>5,0,GEMS1
1042,,5,F5_MED_BMI,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010093,BMI (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: Calculated BMI=weight / squared(_CLENHEI) (median ht),Num,GEMS1
1043,,14,F5_MED_BMIZ,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010094,BMI for age z-score (median ht),,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Physical findings: BMI-for-age z-score (median ht),Num,GEMS1
1044,,9,F5_MED_BMIZ_F,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015129,BMI z-score<-5 or >5 (median ht),,Observation,Anthropometry flag,http://purl.obolibrary.org/obo/EUPATH_0010383,Physical findings: Flag for _ZBMI<-5 or _ZBMI>5 (median ht),0,GEMS1
1045,,1,F5_TEMP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010095,Axillary temperature (C),,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings: 1d. Axillary temperature,Num,GEMS1
1046,,2,F5_RESP1,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010096,"Respiratory rate per minute, 1st",,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings:  1e. Respiratory rate per minute 1st,Num,GEMS1
1047,,3,F5_RESP2,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010097,"Respiratory rate per minute, 2nd",,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings:  1e. Respiratory rate per minute 2nd,Num,GEMS1
1048,,4,F5_RESP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010098,"Respiratory rate, mean",,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings:  Calculated resp rate,Num,GEMS1
1049,,5,F5_RECTAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015253,Rectal prolapse,,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings: Rectal prolapse,,GEMS1
1050,,6,F5_BIPEDAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015254,Bipedal edema,,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings: Bipedal edema [Both feet],0,GEMS1
1051,,7,F5_ABN_HAIR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015255,Abnormal hair,,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,"Physical findings: Abnormal hair: sparse, loose, straight",0,GEMS1
1052,,8,F5_UNDER_NUTR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015256,Undernutrition,,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings: Undernutrition: wasted/very thin,0,GEMS1
1053,,9,F5_SKIN_FLAKY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015257,Skin has 'flaky paint' appearance,,Observation,Signs at follow-up,http://purl.obolibrary.org/obo/EUPATH_0010030,Physical findings: Skin has 'flaky paint' appearance,0,GEMS1
1054,,2,F5_MS_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010099,Main drinking water source,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,"During the last two weeks, what was the main source of drinking water for the members of your household? ",0,GEMS1
1056,,8,F5_MAIN_CONT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010101,Observed drinking water containers,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,Observed container(s) in use in the home?,0,GEMS1
1057,,9,F5_MAIN_TYPE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010102,Drinking water container,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,Main Type of Container Observed,0,GEMS1
1059,,10,F5_MAIN_CONTAINCOV,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010104,Drinking water containers covered,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,Are containers covered?,0,GEMS1
1060,,1,F5_WATER_POUR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010105,Pour (spigot or spout),,Observation,Drinking water retrieval method,http://purl.obolibrary.org/obo/EUPATH_0010399,How is water removed from container? Pour (spigot or spout)?,0,GEMS1
1061,,2,F5_WATER_CUP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010106,Scoop with cup,,Observation,Drinking water retrieval method,http://purl.obolibrary.org/obo/EUPATH_0010399,How is water removed from container? Scoop with cup,0,GEMS1
1062,,3,F5_WATER_LADLE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010107,Scoop with ladle,,Observation,Drinking water retrieval method,http://purl.obolibrary.org/obo/EUPATH_0010399,How is water removed from container? Scoop with ladle,0,GEMS1
1063,,11,F5_TREAT_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010108,Drinking water treatment,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,Do you usually treat your drinking water at home?,0,GEMS1
1064,,1,F5_TRT_METH,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000700,Drinking water treatment method,,Observation,Drinking water treatment,http://purl.obolibrary.org/obo/EUPATH_0010108,Which method do you use the most to treat drinking water at home?,0,GEMS1
1065,,1,F5_TRTOBS_SUN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015258,Sun treatment materials observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: 10-20 1-2L bottles on roof in sun,0,GEMS1
1066,,2,F5_TRTOBS_BOIL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015259,Boiling materials observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Observed boiling,0,GEMS1
1067,,3,F5_TRTOBS_FILTER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015260,Filter cloth observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Cloth Observed,0,GEMS1
1068,,4,F5_TRTOBS_CRMC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015261,Ceramic/other filter observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Filter observed,0,GEMS1
1069,,5,F5_TRTOBS_CHLR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015262,Chlorine observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Tablet/liquid/powder observed,0,GEMS1
1070,,6,F5_TRTOBS_ALUM,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015263,Alum observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Alum observed,0,GEMS1
1072,,7,F5_TRTOBS_CHEM,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015264,Other chemical observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Chemical observed,0,GEMS1
1074,,8,F5_TRTOBS_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015265,Other method observed,,Observation,Water treatment materials,http://purl.obolibrary.org/obo/EUPATH_0010401,Materials observed for method reported: Other observed,0,GEMS1
1075,,3,F5_CHLR_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010111,Chlorine test result,,Observation,Drinking water treatment,http://purl.obolibrary.org/obo/EUPATH_0010108,"If chlorine is the method of water treatment in Q10, record the chlorine test result:",,GEMS1
1076,,3,F5_BRD_CERTEZA,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015266,Certeza,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Certeza",0,GEMS1
1077,,2,F5_BRD_AQUATAB,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015267,Aquatabs,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Aquatab",0,GEMS1
1078,,1,F5_BRD_AQUAGU,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015268,AquaGuard,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. AquaGuard",0,GEMS1
1079,,5,F5_BRD_WTRGUARD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015269,WaterGuard,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. WaterGuard",0,GEMS1
1080,,6,F5_BRD_WTRMAKE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015270,Watermaker,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Watermaker",0,GEMS1
1081,,4,F5_BRD_PUR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015271,PuR,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Pur",0,GEMS1
1082,,7,F5_BRD_UNKNOWN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015272,Brand unknown,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Unknown",0,GEMS1
1083,,9,F5_BRD_NA,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015273,Not applicable (none observed),,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Not applicable (none observed)",0,GEMS1
1084,,8,F5_BRD_OTHER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015274,Other brand,,Observation,Chlorine treatment brand,http://purl.obolibrary.org/obo/EUPATH_0010398,"If chlorine is the method of water treatment in Q10, check the brand that you observed. Other",0,GEMS1
1086,,3,F5_WASH_WHERE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010112,Hand washing location,,Observation,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,Where do you usually wash your hadns?,0,GEMS1
1087,,5,F5_WASH_PIPED,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015275,Piped water source,,Observation,Hand washing material,http://purl.obolibrary.org/obo/EUPATH_0010400,"If hands are washed in or near dwelling/yard, ask to see the place and record whether the following items are present: Piped water source",0,GEMS1
