variable,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdq32reviewvisit5reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063159,Review visit 5 main reason 2,17,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit5reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063160,Review visit 5 main reason 3,18,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit6reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063162,Review visit 6 main reason 1,19,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit6reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063163,Review visit 6 main reason 2,20,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit6reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063164,Review visit 6 main reason 3,21,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 6, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit7reason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063165,Review visit 7 main reason 1,22,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit7reason2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063166,Review visit 7 main reason 2,23,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq32reviewvisit7reason3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063167,Review visit 7 main reason 3,24,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 7, Reason 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this facility/site/service provider,,"1: Close to home
2: Staff give good advice
3: Good staff attitude
4: Knew someone in the facility
5: Less waiting time
6: PrEP services available
7: Staff are qualified
8: Less costly
9: Do not have to pay
10: Cleaner facility/site
11: More privacy
12: Was referred
13: Other (specify)",value,,,,,jilinde_costing_survey,,,,,,,,,
dateofinterview,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,1,Date of interview,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Date of interview,,variable,,,,,jilinde_costing_survey,,,,,,,,,
endtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0060016,Interview end date,2,Interview end time,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Interview end time,,variable,,,,,jilinde_costing_survey,,,,,,,,,
starttime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0060056,Interview start date,3,Interview start time,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Interview start time,,variable,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0054343,HIV/AIDS and STIs,7,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0022066,Activity,3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,9,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,4,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,5,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,8,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,10,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,6,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,
cdq37initialvisit,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063235,Initial visit,1,Did you pay money for the services you received? Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Initial visit,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063236,Review visit 1,2,Did you pay money for the services you received? Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 1,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063237,Review visit 2,3,Did you pay money for the services you received? Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 2,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063238,Review visit 3,4,Did you pay money for the services you received? Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 3,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063239,Review visit 4,5,Did you pay money for the services you received? Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 4,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit5,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063240,Review visit 5,6,Did you pay money for the services you received? Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 5,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit6,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063241,Review visit 6,7,Did you pay money for the services you received? Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 6,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit7,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063242,Review visit 7,8,Did you pay money for the services you received? Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,Did you pay money for the services you received? Review visit 7,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit5mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063268,"If you paid some money, what was the mode of payment? Review visit 5, mode 1",1,"If you paid some money, what was the mode of payment? Review visit 5, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 5, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit5mode2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063269,"If you paid some money, what was the mode of payment? Review visit 5, mode 2",2,"If you paid some money, what was the mode of payment? Review visit 5, mode 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 5, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit6mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063270,"If you paid some money, what was the mode of payment? Review visit 6, mode 1",3,"If you paid some money, what was the mode of payment? Review visit 6, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 6, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit7mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063271,"If you paid some money, what was the mode of payment? Review visit 7, mode 1",4,"If you paid some money, what was the mode of payment? Review visit 7, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 7, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063253,"Initial visit,  first mode",1,"If you paid some money, what was the mode of payment? Initial visit, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063254,"Initial visit,  second mode",2,"If you paid some money, what was the mode of payment? Initial visit, mode 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063255,"Initial visit,  third mode",3,"If you paid some money, what was the mode of payment? Initial visit, mode 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 3","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063256,"Initial visit,  fourth mode",4,"If you paid some money, what was the mode of payment? Initial visit, mode 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 4","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063257,"Review visit 1,  first mode",5,"If you paid some money, what was the mode of payment? Review visit 1, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063258,"Review visit 1,  second mode",6,"If you paid some money, what was the mode of payment? Review visit 1, mode 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063259,"Review visit 1,  third mode",7,"If you paid some money, what was the mode of payment? Review visit 1, mode 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 3","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode4,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063260,"Review visit 1,  fourth mode",8,"If you paid some money, what was the mode of payment? Review visit 1, mode 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 4","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit2mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063261,"Review visit 2,  first mode",9,"If you paid some money, what was the mode of payment? Review visit 2, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 2, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit2mode2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063262,"Review visit 2,  second mode",10,"If you paid some money, what was the mode of payment? Review visit 2, mode 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 2, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit3mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063263,"Review visit 3,  first mode",11,"If you paid some money, what was the mode of payment? Review visit 3, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 3, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit3mode2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063264,"Review visit 3,  second mode",12,"If you paid some money, what was the mode of payment? Review visit 3, mode 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 3, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit4mode1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063265,"Review visit 4,  first mode",13,"If you paid some money, what was the mode of payment? Review visit 4, mode 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 4, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit4mode2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063266,"Review visit 4,  second mode",14,"If you paid some money, what was the mode of payment? Review visit 4, mode 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 4, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit4mode3,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063267,"Review visit 4,  third mode",15,"If you paid some money, what was the mode of payment? Review visit 4, mode 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 4, mode 3","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
q38initialvisitservice1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063101,PrEP service received in initial visit,1,Which PrEP service did you receive in the initial visit?,Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,Which PrEP service did you receive in the initial visit?,,variable,,,,,jilinde_costing_survey,,,,,,,,,
,,http://purl.obolibrary.org/obo/EUPATH_0063137,Main reason for choosing this provider,2,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq32initialvisitother,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063141,"Other main reasons 
for choosing this facility/site/service provider for initial visit  specified",3,"What are the main three reasons
for your choosing this facility/site/service provider? Initial visit Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
cdq32reviewvisit1other,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063145,"Other main reasons 
for choosing this facility/site/service provider for review visit 1 specified",4,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 1, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
cdq32reviewvisit2other,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063149,"Other main reasons 
for choosing this facility/site/service provider for review visit 2 specified",5,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 2, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
cdq32reviewvisit3other,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063153,"Other main reasons 
for choosing this facility/site/service provider for review visit 3 specified",6,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 3, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
cdq32reviewvisit4other,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063157,"Other main reasons 
for choosing this facility/site/service provider for review visit 4 specified",7,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 4, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
cdq32reviewvisit5other,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063161,"Other main reasons 
for choosing this facility/site/service provider for review visit 5 specified",8,"What are the main three reasons
for your choosing this facility/site/service provider? Review visit 5, Other reason",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,9,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063201,Whether obtain PrEP service during visit,10,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063210,Reason for obtaining only some PrEP services during visit,11,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063234,Payment for received PrEP services,12,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063243,Accompanied to PrEP visit,13,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063252,Payment mode for PrEP service,14,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063272,Whether satisfied with the quality of care received from health facility,15,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,16,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,17,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,18,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,19,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,20,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq36initialvisitreason1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063233,Main reason for not obtaining PrEP services,21,"If none of the PrEP services were obtained, what were the main reasons? Initial visit, reason 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,"If none of the PrEP services were obtained, what were the main reasons? Initial visit, reason 1","1=Drugs not available
2=Bought drugs from elsewhere
3=Used drugs available at home
4=Decided to do without drugs
5=Did not need drugs
6=Did not have any money",variable,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice1,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063169,"Initial visit, 1st service",1,"Which PrEP services did you receive during each of the visits? Initial visit, service 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 1","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq33initialvisitservice2,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063170,"Initial visit, 2nd service",2,"Which PrEP services did you receive during each of the visits? Initial visit, service 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0063168,PrEP service received,"Which PrEP services did you receive during each of the visits? Initial visit, service 2","1: Consultation
2: HIV testing and counselling
3: PrEP drugs
4: Liver function test
5: Urinalysis test
6: Serum creatinine and creatinine clearance test
7: Hepatitis B surface antigen test
8: Hepatitis C antibody
9: Rapid Plasma Reagin
10: Pregnancy testing",value,,,,,jilinde_costing_survey,,,,,,,,,
