variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdq35initialvisitreason1,jilinde_costing_survey,,Initial visit reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Initial visit, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Initial visit, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35initialvisitreason2,jilinde_costing_survey,,Initial visit reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Initial visit, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Initial visit, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35initialvisitreason3,jilinde_costing_survey,,Initial visit reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Initial visit, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Initial visit, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit1reason1,jilinde_costing_survey,,Review visit 1 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 1, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 1, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit1reason2,jilinde_costing_survey,,Review visit 1 reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 1, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 1, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit1reason3,jilinde_costing_survey,,Review visit 1 reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 1, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 1, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit2reason1,jilinde_costing_survey,,Review visit 2 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 2, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 2, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit2reason2,jilinde_costing_survey,,Review visit 2 reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 2, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 2, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit2reason3,jilinde_costing_survey,,Review visit 2 reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 2, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 2, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit3reason1,jilinde_costing_survey,,Review visit 3 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 3, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 3, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit3reason2,jilinde_costing_survey,,Review visit 3 reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 3, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 3, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit3reason3,jilinde_costing_survey,,Review visit 3 reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 3, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 3, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit4reason1,jilinde_costing_survey,,Review visit 4 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 4, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 4, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit4reason2,jilinde_costing_survey,,Review visit 4 reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 4, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 4, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit4reason3,jilinde_costing_survey,,Review visit 4 reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 4, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 4, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit5reason1,jilinde_costing_survey,,Review visit 5 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 5, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 5, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit5reason2,jilinde_costing_survey,,Review visit 5 reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 5, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 5, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit5reason3,jilinde_costing_survey,,Review visit 5 reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 5, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 5, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit6reason1,jilinde_costing_survey,,Review visit 6 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 6, reason 1",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 6, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit6reason2,jilinde_costing_survey,,Review visit 6 reason 2,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 6, reason 2",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 6, reason 2","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit6reason3,jilinde_costing_survey,,Review visit 6 reason 3,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 6, reason 3",Participant,,Reason of obtaining only some PrEP services during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 6, reason 3","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq35reviewvisit7reason1,jilinde_costing_survey,,Review visit 7 reason 1,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 7, reason 1",Participant,,Reason of obtaining PrEP service during visit,"If only some of the PeEP services were obtained, what were the main reasons? Review visit 7, reason 1","1=Services not available
2=Did not have money to pay for the services
3=Not finished PrEP drugs given during last visit
4=Decided to do without the PrEP drugs/services
5=Did not need PrEP drugs/services
6=Referred",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq36initialvisitreason1,jilinde_costing_survey,,Main reason for not obtaining PrEP services,"If none of the PeEP services were obtained, what were the main reasons? Initial visit, reason 1",Participant,,,"If none of the PeEP services were obtained, what were the main reasons? Initial visit, reason 1","1=Drugs not available
2=Bought drugs from elsewhere
3=Used drugs available at home
4=Decided to do without drugs
5=Did not need drugs
6=Did not have any money",variable,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Payment for received PrEP services,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq37initialvisit,jilinde_costing_survey,,Initial visit,Did you pay money for the services you received? Initial visit,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Initial visit,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit1,jilinde_costing_survey,,Review visit 1,Did you pay money for the services you received? Review visit 1,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 1,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit2,jilinde_costing_survey,,Review visit 2,Did you pay money for the services you received? Review visit 2,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 2,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit3,jilinde_costing_survey,,Review visit 3,Did you pay money for the services you received? Review visit 3,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 3,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit4,jilinde_costing_survey,,Review visit 4,Did you pay money for the services you received? Review visit 4,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 4,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit5,jilinde_costing_survey,,Review visit 5,Did you pay money for the services you received? Review visit 5,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 5,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit6,jilinde_costing_survey,,Review visit 6,Did you pay money for the services you received? Review visit 6,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 6,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq37reviewvisit7,jilinde_costing_survey,,Review visit 7,Did you pay money for the services you received? Review visit 7,Participant,,Payment for received PrEP services,Did you pay money for the services you received? Review visit 7,"1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Accompanied to PrEP visit,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq46initialvisit,jilinde_costing_survey,,Initial visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Initial visit,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Initial visit,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit1,jilinde_costing_survey,,Review visit 1,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 1,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 1,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit2,jilinde_costing_survey,,Review visit 2,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 2,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 2,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit3,jilinde_costing_survey,,Review visit 3,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 3,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 3,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit4,jilinde_costing_survey,,Review visit 4,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 4,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 4,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit5,jilinde_costing_survey,,Review visit 5,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 5,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 5,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit6,jilinde_costing_survey,,Review visit 6,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 6,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 6,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq46reviewvisit7,jilinde_costing_survey,,Review visit 7,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 7,Participant,,Accompanied to PrEP visit,Did any member of your household accompany you during your visit to the service delivery point/facility/site? Review visit 7,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Payment mode for PrEP service,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode1,jilinde_costing_survey,,"Initial visit,  first mode","If you paid some money, what was the mode of payment? Initial visit, mode 1",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode2,jilinde_costing_survey,,"Initial visit,  second mode","If you paid some money, what was the mode of payment? Initial visit, mode 2",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode3,jilinde_costing_survey,,"Initial visit,  third mode","If you paid some money, what was the mode of payment? Initial visit, mode 3",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 3","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49initialvisitmode4,jilinde_costing_survey,,"Initial visit,  fourth mode","If you paid some money, what was the mode of payment? Initial visit, mode 4",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Initial visit, mode 4","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode1,jilinde_costing_survey,,"Review visit 1,  first mode","If you paid some money, what was the mode of payment? Review visit 1, mode 1",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode2,jilinde_costing_survey,,"Review visit 1,  second mode","If you paid some money, what was the mode of payment? Review visit 1, mode 2",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode3,jilinde_costing_survey,,"Review visit 1,  third mode","If you paid some money, what was the mode of payment? Review visit 1, mode 3",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 3","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit1mode4,jilinde_costing_survey,,"Review visit 1,  fourth mode","If you paid some money, what was the mode of payment? Review visit 1, mode 4",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 1, mode 4","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit2mode1,jilinde_costing_survey,,"Review visit 2,  first mode","If you paid some money, what was the mode of payment? Review visit 2, mode 1",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 2, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit2mode2,jilinde_costing_survey,,"Review visit 2,  second mode","If you paid some money, what was the mode of payment? Review visit 2, mode 2",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 2, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit3mode1,jilinde_costing_survey,,"Review visit 3,  first mode","If you paid some money, what was the mode of payment? Review visit 3, mode 1",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 3, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit3mode2,jilinde_costing_survey,,"Review visit 3,  second mode","If you paid some money, what was the mode of payment? Review visit 3, mode 2",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 3, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit4mode1,jilinde_costing_survey,,"Review visit 4,  first mode","If you paid some money, what was the mode of payment? Review visit 4, mode 1",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 4, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit4mode2,jilinde_costing_survey,,"Review visit 4,  second mode","If you paid some money, what was the mode of payment? Review visit 4, mode 2",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 4, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit4mode3,jilinde_costing_survey,,"Review visit 4,  third mode","If you paid some money, what was the mode of payment? Review visit 4, mode 3",Participant,,Payment mode for PrEP service,"If you paid some money, what was the mode of payment? Review visit 4, mode 3","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit5mode1,jilinde_costing_survey,,"If you paid some money, what was the mode of payment? Review visit 5, mode 1","If you paid some money, what was the mode of payment? Review visit 5, mode 1",Participant,,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 5, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit5mode2,jilinde_costing_survey,,"If you paid some money, what was the mode of payment? Review visit 5, mode 2","If you paid some money, what was the mode of payment? Review visit 5, mode 2",Participant,,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 5, mode 2","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit6mode1,jilinde_costing_survey,,"If you paid some money, what was the mode of payment? Review visit 6, mode 1","If you paid some money, what was the mode of payment? Review visit 6, mode 1",Participant,,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 6, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq49reviewvisit7mode1,jilinde_costing_survey,,"If you paid some money, what was the mode of payment? Review visit 7, mode 1","If you paid some money, what was the mode of payment? Review visit 7, mode 1",Participant,,Payment method for PrEP service,"If you paid some money, what was the mode of payment? Review visit 7, mode 1","1=Cash
2=Private insurance
3=NHIF
4=Given opportunity to pay later (credit)
5=Waiver/exemption
6=Paid in kind
7=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Whether satisfied with the quality of care received from health facility  ,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq51initialvisit,jilinde_costing_survey,,Initial visit,"Were you satisfied with the quality
of care received from health facility? Initial visit",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Initial visit","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit1,jilinde_costing_survey,,Review visit 1,"Were you satisfied with the quality
of care received from health facility? Review visit 1",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 1","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit2,jilinde_costing_survey,,Review visit 2,"Were you satisfied with the quality
of care received from health facility? Review visit 2",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 2","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit3,jilinde_costing_survey,,Review visit 3,"Were you satisfied with the quality
of care received from health facility? Review visit 3",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 3","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit4,jilinde_costing_survey,,Review visit 4,"Were you satisfied with the quality
of care received from health facility? Review visit 4",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 4","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit5,jilinde_costing_survey,,Review visit 5,"Were you satisfied with the quality
of care received from health facility? Review visit 5",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 5","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit6,jilinde_costing_survey,,Review visit 6,"Were you satisfied with the quality
of care received from health facility? Review visit 6",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 6","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq51reviewvisit7,jilinde_costing_survey,,Review visit 7,"Were you satisfied with the quality
of care received from health facility? Review visit 7",Participant,,Whether satisfied with the quality of care received from health facility,"Were you satisfied with the quality
of care received from health facility? Review visit 7","1=Yes, 2=No, 8=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
,jilinde_costing_survey,,Assessment of following aspects of quality care in the health facility visited/PrEP site,,,http://purl.obolibrary.org/obo/EUPATH_0053597,PrEP,,,multifilter,,,,,jilinde_costing_survey,,,,,,,,,
cdq52atimespentwithclinician,jilinde_costing_survey,,Time spent with the clinician for initial visit,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,,Assessment of following aspects of quality care in the health facility visited/PrEP site,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
