variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
temp,BC-3 mothers expanded database FINAL,keep,,Temperature,,,,,,,temp|BC-3 mothers expanded database FINAL,,,,,,,
tempgrade,BC-3 enrollment database FINAL,keep,,Temperature grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,tempgrade|BC-3 enrollment database FINAL,,,,,,,
tempgrade,BC-3 mothers all visits database FINAL,keep,,Temperature grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,tempgrade|BC-3 mothers all visits database FINAL,,,,,,,
term,BC-3 enrollment database FINAL,discard,,Term,,,,,,Drop use cterm,term|BC-3 enrollment database FINAL,,Term pregnancies,How many pregnancies reached viable gestation age,Participant,Obstetric history,,variable
tfaclty,BC3_Household_Survey_Data,SKIP,,what kind of toilet facility do members of your household usually use?,"Covered pit latrine with slab, VIP latrine, covered pit latrine no slab, uncovered pit latrine with slab, uncovered pit latrine no slab,no facility/bush/field",,,,,,tfaclty|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0011611,Household toilet,,,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,variable
tfacltydich,BC3_Household_Survey_Data,SKIP,,what kind of toilet facility do members of your household usually use?,"0=uncovered pit latrine, 1= VIP or covered latrin",,,,,,tfacltydich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0011611,Household toilet,,,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,variable
therapy,BC-3 screening database FINAL,SKIP,,Prior SP preventive therapy or any other antimalarial therapy during pregnancy,"0 = No,
1=Yes",,,,,,therapy|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0015234,Malaria,whether the participant has had prior SP preventive therapy or any other antimalarial therapy during pregnancy,Participant,Previous diagnosis at 60 day follow-up visit,http://purl.obolibrary.org/obo/EUPATH_0010393,variable
thrombocytopenia,Individual level database FINAL,SKIP,,(sum) thrombocytopenia,"0,1",,,,,"Need more information, how was this collected?",thrombocytopenia|Individual level database FINAL,,,,,,,
timecat,BC-3 mothers expanded database FINAL,keep,,Observaton time in relation to study drugs and delievery,"0=Pregnant (before study drugs given), 1=pregnant (after study drugs given), 3=Postpartum",,,,,,timecat|BC-3 mothers expanded database FINAL,,,,,,,
tobacco,BC-3 enrollment database FINAL,keep,,Chew/smoke tobacco,"0 = No,
1=Yes",,,,,,tobacco|BC-3 enrollment database FINAL,,,,,,,
todhrs,BC-3 mothers delivery database FINAL,keep,,Time of delivery: Hours,,,,,,,todhrs|BC-3 mothers delivery database FINAL,,,,,,,
todmin,BC-3 mothers delivery database FINAL,keep,,Time of delivery: Minutes,,,,,,,todmin|BC-3 mothers delivery database FINAL,,,,,,,
totvisit,BC3_Household_Survey_Data,SKIP,,total number of visits,"1,2,3,4",,,,,,totvisit|BC3_Household_Survey_Data,,,,,,,variable
tppwalls,BC3_Household_Survey_Data,SKIP,,"how many months ago were the walls plastered or painted?if less than one month,",,,,,,,tppwalls|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
treatment,BC-3 mothers expanded database FINAL,keep,,Antimalarial treatment,"0=No malaria,1=Uncomplicated(AL),2=Complicated malaria(Quinine),3=AL treatment failure,4=Quinine/artesunate treatment failure",,,,,,treatment|BC-3 mothers expanded database FINAL,,,,,,,
tsmnet1,BC3_Household_Survey_Data,SKIP,,how many months ago was the net1 last soaked or dipped?,,,,,,,tsmnet1|BC3_Household_Survey_Data,,,,,,,variable
tsmnet10,BC3_Household_Survey_Data,SKIP,,how many months ago was the net10 last soaked or dipped?,,,,,,,tsmnet10|BC3_Household_Survey_Data,,,,,,,variable
tsmnet2,BC3_Household_Survey_Data,SKIP,,how many months ago was the net2 last soaked or dipped?,,,,,,,tsmnet2|BC3_Household_Survey_Data,,,,,,,variable
tsmnet3,BC3_Household_Survey_Data,SKIP,,how many months ago was the net3 last soaked or dipped?,,,,,,,tsmnet3|BC3_Household_Survey_Data,,,,,,,variable
tsmnet4,BC3_Household_Survey_Data,SKIP,,how many months ago was the net4 last soaked or dipped?,,,,,,,tsmnet4|BC3_Household_Survey_Data,,,,,,,variable
tsmnet5,BC3_Household_Survey_Data,SKIP,,how many months ago was the net5 last soaked or dipped?,,,,,,,tsmnet5|BC3_Household_Survey_Data,,,,,,,variable
tsmnet6,BC3_Household_Survey_Data,SKIP,,how many months ago was the net6 last soaked or dipped?,,,,,,,tsmnet6|BC3_Household_Survey_Data,,,,,,,variable
tsmnet7,BC3_Household_Survey_Data,SKIP,,how many months ago was the net7 last soaked or dipped?,,,,,,,tsmnet7|BC3_Household_Survey_Data,,,,,,,variable
tsmnet8,BC3_Household_Survey_Data,SKIP,,how many months ago was the net8 last soaked or dipped?,,,,,,,tsmnet8|BC3_Household_Survey_Data,,,,,,,variable
tsmnet9,BC3_Household_Survey_Data,SKIP,,how many months ago was the net9 last soaked or dipped?,,,,,,,tsmnet9|BC3_Household_Survey_Data,,,,,,,variable
tspray,BC3_Household_Survey_Data,SKIP,,"how many months ago was the dwelling last sprayed?if less than 1 month, enter 0",,,,,,,tspray|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000390,Last fumigation date,,,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,variable
tv,BC3_Household_Survey_Data,SKIP,,television?,"1=Yes, 2=No, -9=Skipped",,,,,,tv|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
Txarm,BC-3 mothers all visits database FINAL,discard,,Mothers Treatment Assignment,"1=SP, 2=DP",,,,,DROP  - Use individual,Txarm|BC-3 mothers all visits database FINAL,,,,,,,variable
Txarm,BC-3 mothers expanded database FINAL,discard,,Mothers Treatment Assignment,"0=SP, 1=DP",,,,,DROP- Use individual,Txarm|BC-3 mothers expanded database FINAL,,,,,,,variable
Txarm,Individual level database FINAL,keep,,Mothers Treatment Assignment,"0=SP, 1=DP",,,,,,Txarm|Individual level database FINAL,,,,,,,
uniqueid,BC-3 mothers all visits database FINAL,keep,,Unique ID number (id + date),id number + 5-digit number,,,,,,uniqueid|BC-3 mothers all visits database FINAL,,,,,,,
uniqueid,BC-3 mothers expanded database FINAL,keep,,Unique ID number = participant ID number + date,id number + 5-digit number,,,,,,uniqueid|BC-3 mothers expanded database FINAL,,,,,,,
uprotein,BC-3 enrollment database FINAL,keep,,,"0=0,
1=1+,
2=2+,
3=3+",,,,,,uprotein|BC-3 enrollment database FINAL,,,,,,,
uprotein,BC-3 mothers all visits database FINAL,keep,,Urine protein,"0=0,
1=1+,
2=2+,
3=3+",,,,,,uprotein|BC-3 mothers all visits database FINAL,,,,,,,
urine,BC-3 enrollment database FINAL,keep,,Urine for protein dip stick,"0=Not collected,
1=Collected
",,,,,,urine|BC-3 enrollment database FINAL,,,,,,,
vagnalbd,BC-3 enrollment database FINAL,keep,,Vaginal bleeding,"0=Not present, 1=Present",,,,,,vagnalbd|BC-3 enrollment database FINAL,,,,,,,
vagnalbd,BC-3 mothers all visits database FINAL,keep,,Vaginal bleeding,"0=Absent,
1=Present",,,,,,vagnalbd|BC-3 mothers all visits database FINAL,,,,,,,
vagnalfd,BC-3 enrollment database FINAL,keep,,Leakage of watery vaginal fluid,"0=Not present, 1=Present",,,,,,vagnalfd|BC-3 enrollment database FINAL,,,,,,,
vagnalfd,BC-3 mothers all visits database FINAL,keep,,Leakage of watery vaginal fluids,"0=Absent,
1=Present",,,,,,vagnalfd|BC-3 mothers all visits database FINAL,,,,,,,
vdischarge,BC-3 enrollment database FINAL,keep,,Other abnormal vaginal discharge,"0=Not present, 1=Present",,,,,,vdischarge|BC-3 enrollment database FINAL,,,,,,,
visdate,BC3_Household_Survey_Data,SKIP,,date of final visit,date,,,,,,visdate|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000091,Visit date,,,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,variable
visittype,BC-3 enrollment database FINAL,keep,,Type of visit,2 = Enrollment visit,,,,,,visittype|BC-3 enrollment database FINAL,,,,,,,
visittype,BC-3 mothers all visits database FINAL,keep,,Type of visit,"0=Non-routine visit,
1=Routine visit",,,,,,visittype|BC-3 mothers all visits database FINAL,,,,,,,
visittype,BC-3 mothers expanded database FINAL,keep,,Type of visit,"0=Non-routine visit, 1=Routine visit",,,,,,visittype|BC-3 mothers expanded database FINAL,,,,,,,
vom1,BC-3 mothers all visits database FINAL,discard,,Whether participant vomited day 1 dose,"0=No, 1=Vomit once",,,,,DROP - Use expanded,vom1|BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/HP_0002013,Vomiting,specified whether participant vomited after study drug dose,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
vom1,BC-3 mothers expanded database FINAL,keep,,Whether participant vomited day 1 dose,"0=No,1=Vomit once,2=Vomit twice",,,,,"How do 1,2,3 differ? Is this collected under Clinical assessment parameter: vomiting?",vom1|BC-3 mothers expanded database FINAL,,,,,,,
vom2,BC-3 mothers all visits database FINAL,discard,,Whether participant vomited day 2 dose,"0=No, 1=Vomit once",,,,,DROP - Use expanded,vom2|BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/HP_0002013,Vomiting,,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
vom2,BC-3 mothers expanded database FINAL,keep,,Whether participant vomited day 2 dose,"0=No,1=Yes",,,,,"How do 1,2,3 differ? Is this collected under Clinical assessment parameter: vomiting?",vom2|BC-3 mothers expanded database FINAL,,,,,,,
vom3,BC-3 mothers all visits database FINAL,discard,,Whether participant vomited day 3 dose,"0=No, 1=Vomit once",,,,,DROP - Use expanded,vom3|BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/HP_0002013,Vomiting,,,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
vom3,BC-3 mothers expanded database FINAL,keep,,Whether participant vomited day 3 dose,"0=No,1=Yes",,,,,"How do 1,2,3 differ? Is this collected under Clinical assessment parameter: vomiting?",vom3|BC-3 mothers expanded database FINAL,,,,,,,
vomdur,BC-3 enrollment database FINAL,keep,,Vomiting Duration,,,,,,,vomdur|BC-3 enrollment database FINAL,,,,,,,
vomdur,BC-3 mothers all visits database FINAL,keep,,Vomiting Duration,,,,,,,vomdur|BC-3 mothers all visits database FINAL,,,,,,,
vomgrade,BC-3 enrollment database FINAL,keep,,Vomiting Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,vomgrade|BC-3 enrollment database FINAL,,,,,,,
vomgrade,BC-3 mothers all visits database FINAL,keep,,Vomiting Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,vomgrade|BC-3 mothers all visits database FINAL,,,,,,,
vomitingAE,Individual level database FINAL,SKIP,,(sum) vomitingAE,"0,1,2,3,4",,,,,"What does this mean, explain further.",vomitingAE|Individual level database FINAL,,Vomiting,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
vstatus,BC3_Household_Survey_Data,SKIP,,result of visit,"1=completed, 2= no competent respondent household member,3=Entire household absent, 5=Refuded, 9=other",,,,,,vstatus|BC3_Household_Survey_Data,,,,,,,variable
watch,BC3_Household_Survey_Data,SKIP,, a watch?,"1=Yes, 2=No, -9=Skipped",,,,,,watch|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000186,Watch,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
wbc,BC-3 enrollment database FINAL,keep,,wbc,,,,,,,wbc|BC-3 enrollment database FINAL,,,,,,,
wbc,BC-3 mothers all visits database FINAL,discard,,WBC result,,,,,,DROP - Use expanded,wbc|BC-3 mothers all visits database FINAL,,,,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,variable
wbc,BC-3 mothers delivery database FINAL,keep,,WBC,,,,,,,wbc|BC-3 mothers delivery database FINAL,,,,,,,
wbc,BC-3 mothers expanded database FINAL,keep,,WBC result,,,,,,,wbc|BC-3 mothers expanded database FINAL,,,,,,,
wbcgrade,BC-3 enrollment database FINAL,keep,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,wbcgrade|BC-3 enrollment database FINAL,,,,,,,
wbcgrade,BC-3 mothers all visits database FINAL,keep,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,wbcgrade|BC-3 mothers all visits database FINAL,,,,,,,
wbcgrade,BC-3 mothers delivery database FINAL,keep,,WBC grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,wbcgrade|BC-3 mothers delivery database FINAL,,,,,,,
wealthcat,BC3_Household_Survey_Data,SKIP,,Wealth index categories,"1=poorest,2=middle,3=least poor",,,,,,wealthcat|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,variable
weight,BC-3 enrollment database FINAL,keep,,Weight(kg),,,,,,,weight|BC-3 enrollment database FINAL,,,,,,,
weight,BC-3 mothers all visits database FINAL,discard,,Weight (kg),,,,,,DROP - Use expanded,weight|BC-3 mothers all visits database FINAL,,,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,variable
weight,BC-3 mothers expanded database FINAL,keep,,Weight (kg),,,,,,,weight|BC-3 mothers expanded database FINAL,,,,,,,
weight1,BC-3 mothers delivery database FINAL,keep,,,,,,,,,weight1|BC-3 mothers delivery database FINAL,,,,,,,
weight2,BC-3 mothers delivery database FINAL,keep,,,,,,,,2nd infant.,weight2|BC-3 mothers delivery database FINAL,,,,,,,
wheren1,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net1 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren1|BC3_Household_Survey_Data,,,,,,,variable
wheren10,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net10 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren10|BC3_Household_Survey_Data,,,,,,,variable
wheren2,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net2 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren2|BC3_Household_Survey_Data,,,,,,,variable
wheren3,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net3 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren3|BC3_Household_Survey_Data,,,,,,,variable
wheren4,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net4 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren4|BC3_Household_Survey_Data,,,,,,,variable
wheren5,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net5 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren5|BC3_Household_Survey_Data,,,,,,,variable
wheren6,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net6 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren6|BC3_Household_Survey_Data,,,,,,,variable
wheren7,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net7 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren7|BC3_Household_Survey_Data,,,,,,,variable
wheren8,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net8 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren8|BC3_Household_Survey_Data,,,,,,,variable
wheren9,BC3_Household_Survey_Data,SKIP,,where did you get the mosquito net9 from?,"1=Govt hospital, 2 Govt health center, 9=campaign/VHT, -9=skipped",,,,,,wheren9|BC3_Household_Survey_Data,,,,,,,variable
windowscat,BC3_Household_Survey_Data,SKIP,,Number of windows present,"0=None, 1 = 1 window, 2= 2 or more windows",,,,,,windowscat|BC3_Household_Survey_Data,,windows,,,,,variable
withdrawaldate,BC-3 mothers expanded database FINAL,keep,,Date prematurely withdrawn from the study,Date,,,,,,withdrawaldate|BC-3 mothers expanded database FINAL,,,,,,,
withdrawalreason,BC-3 mothers expanded database FINAL,keep,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",,,,,,withdrawalreason|BC-3 mothers expanded database FINAL,,,,,,,
withdrawalreason,Individual level database FINAL,keep,,Reason for study withdrawal,"1=Participant unable to be located for > 60 days
2=Participant moved out of study area
3=Participant death (complete Death CRF)
4=Withdrawal of informed consent
5=Inability to comply with the study schedule and procedures
6=At the discretion of the site investigator if the study is not in the best interest of the participant
7=Subject or parent/guardian judged by the site investigator to be at significant risk ..
8=Women found to have become HIV-infected during pregnancy or at delivery (infants excluded from study)
9=Participant completed the study ",,,,,,withdrawalreason|Individual level database FINAL,,,,,,,
wndcov1,BC3_Household_Survey_Data,SKIP,,observation: is the window1 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov1|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov10,BC3_Household_Survey_Data,SKIP,,observation: is the window10 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov10|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov11,BC3_Household_Survey_Data,SKIP,,observation: is the window11 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov11|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov12,BC3_Household_Survey_Data,SKIP,,observation: is the window12 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov12|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov2,BC3_Household_Survey_Data,SKIP,,observation: is the window2 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov2|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov3,BC3_Household_Survey_Data,SKIP,,observation: is the window3 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov3|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov4,BC3_Household_Survey_Data,SKIP,,observation: is the window4 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov4|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov5,BC3_Household_Survey_Data,SKIP,,observation: is the window5 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov5|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov6,BC3_Household_Survey_Data,SKIP,,observation: is the window6 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov6|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov7,BC3_Household_Survey_Data,SKIP,,observation: is the window7 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov7|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov8,BC3_Household_Survey_Data,SKIP,,observation: is the window8 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov8|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndcov9,BC3_Household_Survey_Data,SKIP,,observation: is the window9 covered?,"1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,wndcov9|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn1,BC3_Household_Survey_Data,SKIP,,observation: does the window1 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn1|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn10,BC3_Household_Survey_Data,SKIP,,observation: does the window10 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn10|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn11,BC3_Household_Survey_Data,SKIP,,observation: does the window11 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn11|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn12,BC3_Household_Survey_Data,SKIP,,observation: does the window12 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn12|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn2,BC3_Household_Survey_Data,SKIP,,observation: does the window2 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn2|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn3,BC3_Household_Survey_Data,SKIP,,observation: does the window3 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn3|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn4,BC3_Household_Survey_Data,SKIP,,observation: does the window4 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn4|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn5,BC3_Household_Survey_Data,SKIP,,observation: does the window5 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn5|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn6,BC3_Household_Survey_Data,SKIP,,observation: does the window6 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn6|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn7,BC3_Household_Survey_Data,SKIP,,observation: does the window7 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn7|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn8,BC3_Household_Survey_Data,SKIP,,observation: does the window8 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn8|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wndopn9,BC3_Household_Survey_Data,SKIP,,observation: does the window9 open to the outside,"1=Yes, 2=No, -9=Skipped",,,,,,wndopn9|BC3_Household_Survey_Data,,healthy facility windows,,,,,variable
wspray,BC3_Household_Survey_Data,SKIP,,who sprayed the dwelling?,"2=private company, 8=don’t know, -9=skipped",,,,,,wspray|BC3_Household_Survey_Data,,Spraying,,,,,variable
anyHP,BC-3 childs expanded database FINAL,discard,,Any placental malaria by histopathology,"0=No,1=Yes",,,,,DROP. USE INDIV,anyHP|BC-3 childs expanded database FINAL,,,,,,,
BSdich,BC-3 childs expanded database FINAL,discard,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",,dup,,,DROP. USE INDIV,BSdich|BC-3 childs expanded database FINAL,,,,,,,
BSdichenroll,BC-3 childs expanded database FINAL,discard,,Parasite prevalence by microscopy at enrollment,"0=Negative, 1=positive",,dup,,,DROP. USE INDIV,BSdichenroll|BC-3 childs expanded database FINAL,,,,,,,
bweight,BC-3 childs expanded database FINAL,discard,,Birth weight,,,dup,,,DROP. USE INDIV,bweight|BC-3 childs expanded database FINAL,,,,,,,
enddate,BC-3 childs expanded database FINAL,discard,,Last day in the study,,,dup,,,DROP. USE INDIV,enddate|BC-3 childs expanded database FINAL,,,,,,,
enrollage,BC-3 childs expanded database FINAL,discard,,Age at enrollment in years,,,dup,,,DROP. USE INDIV,enrollage|BC-3 childs expanded database FINAL,,,,,,,
enrolldate,BC-3 childs expanded database FINAL,discard,,Mother's date of enrollment,date,,dup,,,DROP. USE INDIV,enrolldate|BC-3 childs expanded database FINAL,,,,,,,
GAcat,BC-3 childs expanded database FINAL,discard,,Gestatinal age at enrollment categories,"1=(12-16weeks), 2=(>16-20 weeks)",,dup,,,DROP. USE INDIV,GAcat|BC-3 childs expanded database FINAL,,,,,,,
GAenroll,BC-3 childs expanded database FINAL,discard,,Gestational age at enrollment,,,dup,,,DROP. USE INDIV,GAenroll|BC-3 childs expanded database FINAL,,,,,,,
gender,BC-3 childs expanded database FINAL,discard,,Gender,"1=male, 2=female",,dup,,,DROP. USE INDIV,gender|BC-3 childs expanded database FINAL,,,,,,,
gestage,BC-3 childs expanded database FINAL,discard,,Gestational age at birth in weeks,,,dup,,,DROP. USE INDIV,gestage|BC-3 childs expanded database FINAL,,,,,,,
Gravidcat,BC-3 childs expanded database FINAL,discard,,Categories of gravidity,"1,2,3=>3",,dup,,,DROP. USE INDIV,Gravidcat|BC-3 childs expanded database FINAL,,,,,,,
Gravidity,BC-3 childs expanded database FINAL,discard,,Total number of pregnancies,"1,2,3,4,5,6,7,8,9",,dup,,,DROP. USE INDIV,Gravidity|BC-3 childs expanded database FINAL,,,,,,,
infstatus,BC-3 childs expanded database FINAL,discard,,Status of Infant at delivery,"1=Alive,2=Macerated stillbirth,3=Fresh stillbirth",,dup,,,DROP. USE INDIV,infstatus|BC-3 childs expanded database FINAL,,,,,,,
LBW,BC-3 childs expanded database FINAL,discard,,Low birth weight (< 2500gm),"0=No,1=Yes",,dup,,,DROP. USE INDIV,LBW|BC-3 childs expanded database FINAL,,,,,,,
matBSdich,BC-3 childs expanded database FINAL,discard,,Number of positive routine BS during pregnancy,"0,1,2,3,4,5,6,7",,dup,,,DROP. USE INDIV,matBSdich|BC-3 childs expanded database FINAL,,,,,,,
matBSdone,BC-3 childs expanded database FINAL,discard,,Total number of routine BS during pregnancy,"3,4,5,6,7,8",,dup,,,DROP. USE INDIV,matBSdone|BC-3 childs expanded database FINAL,,,,,,,
matdaysrisk,BC-3 childs expanded database FINAL,discard,,Mother's days at risk for malaria during pregnancy,,,dup,,,DROP. USE INDIV,matdaysrisk|BC-3 childs expanded database FINAL,,,,,,,
matmalaria,BC-3 childs expanded database FINAL,discard,,Episodes of malaria during pregnancy,"0,1,2,3",,dup,,,DROP. USE INDIV,matmalaria|BC-3 childs expanded database FINAL,,,,,,,
matmalincidence,BC-3 childs expanded database FINAL,discard,,Incidence of malaria PPY during pregnancy,,,dup,,,DROP. USE INDIV,matmalincidence|BC-3 childs expanded database FINAL,,,,,,,
matPP,BC-3 childs expanded database FINAL,discard,,Parasite prevalence by microscopy during pregnancy,,,dup,,,DROP. USE INDIV,matPP|BC-3 childs expanded database FINAL,,,,,,,
motherBSdich,BC-3 childs expanded database FINAL,discard,,maternal peripheral BS dichotomized,"0,1,2",,dup,,,DROP. USE INDIV,motherBSdich|BC-3 childs expanded database FINAL,,,,,,,
placentalBSdich,BC-3 childs expanded database FINAL,discard,,placental BS dichotomized,"0,1,2",,dup,,,DROP. USE INDIV,placentalBSdich|BC-3 childs expanded database FINAL,,,,,,,
placentalLAMPdich,BC-3 childs expanded database FINAL,discard,,Placental blood LAMP,"0=Negative,1=Positive,9=No results",,dup,,,DROP. USE INDIV,placentalLAMPdich|BC-3 childs expanded database FINAL,,,,,,,
preterm,BC-3 childs expanded database FINAL,discard,,Preterm delivery (< 37 weeks),"0=No,1=Yes",,dup,,,DROP. USE INDIV,preterm|BC-3 childs expanded database FINAL,,,,,,,
