variable,colOrder,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag,IRI,label,displayOrder,parentLabel,parentIRI
dx2code,82,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 2nd diagnosis,NA,variable,,,,dx2code,prism border cohort study expanded database through october 31st 2020::dx2code,dbl,-9,NA,NA,-9 to 202,19,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
dx3code,83,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 3rd diagnosis,NA,variable,,,,dx3code,prism border cohort study expanded database through october 31st 2020::dx3code,dbl,-9,NA,NA,-9 to 183,3,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
dx4code,84,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 4th diagnosis,NA,variable,,,,dx4code,prism border cohort study expanded database through october 31st 2020::dx4code,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
dx5code,85,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 5th diagnosis,NA,variable,,,,dx5code,prism border cohort study expanded database through october 31st 2020::dx5code,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
dx6code,86,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 6th diagnosis,NA,variable,,,,dx6code,prism border cohort study expanded database through october 31st 2020::dx6code,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
dx7code,87,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 7th diagnosis,NA,variable,,,,dx7code,prism border cohort study expanded database through october 31st 2020::dx7code,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
dx8code,88,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 8th diagnosis,NA,variable,,,,dx8code,prism border cohort study expanded database through october 31st 2020::dx8code,dbl,-9,NA,NA,-9 to -9,1,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000317,Other diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
med1code,89,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 1st medication,NA,variable,,,,med1code,prism border cohort study expanded database through october 31st 2020::med1code,dbl,-9,NA,NA,-9 to 284,44,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med2code,90,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 2nd medication,NA,variable,,,,med2code,prism border cohort study expanded database through october 31st 2020::med2code,dbl,-9,NA,NA,-9 to 253,27,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med3code,91,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 3rd medication,NA,variable,,,,med3code,prism border cohort study expanded database through october 31st 2020::med3code,dbl,-9,NA,NA,-9 to 222,24,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med4code,92,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 4th medication,NA,variable,,,,med4code,prism border cohort study expanded database through october 31st 2020::med4code,dbl,-9,NA,NA,-9 to 214,7,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med5code,93,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 5th medication,NA,variable,,,,med5code,prism border cohort study expanded database through october 31st 2020::med5code,dbl,-9,NA,NA,-9 to 214,3,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med6code,94,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 6th medication,NA,variable,,,,med6code,prism border cohort study expanded database through october 31st 2020::med6code,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med7code,95,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 7th medication,NA,variable,,,,med7code,prism border cohort study expanded database through october 31st 2020::med7code,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
med8code,96,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Code 8th medication,NA,variable,,,,med8code,prism border cohort study expanded database through october 31st 2020::med8code,dbl,-9,NA,NA,-9 to -9,1,NA,0.957510149,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000059,Non-malaria medication,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
malaria,97,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Malaria status,"1 - No Malaria diagnosed today
2 - Uncomplicated malaria > 14 days since last episode = AL
3 - Complicated malaria > 14 days since last episode = Quinine or IV artesunate
4 - Uncomplicated Malaria < = 14 days since treatment with AL = Quinine
5 - Complicated Malaria < = 14 days since treatment with AL = Quinine or  IV artesunate
6 - Uncomplicated Malaria < = 14 days since complicated malaria = Quinine + clindamycin
7 - Complicated Malaria < = 14 days since complicated malaria = Quinine + clindamycin
8 - Uncomplicated malaria during the 1st trimester of pregnancy = Quinine
9-  uncomplicated Malaria and < 5kg = Quinine",variable,,,,malaria,prism border cohort study expanded database through october 31st 2020::malaria,dbl+lbl,1,NA,NA,1 to 3,3,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000740,Malaria treatment,NA,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090
anymalaria,98,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Whether any malaria diagnosed,,variable,,,,anymalaria,prism border cohort study expanded database through october 31st 2020::anymalaria,dbl,0,NA,NA,0 to 1,2,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
incidentmalaria,99,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Incident episode of malaria,,variable,,,,incidentmalaria,prism border cohort study expanded database through october 31st 2020::incidentmalaria,dbl,0,NA,NA,0 to 1,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria-related diagnosis,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
malariafuday,100,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Malaria follow-up day,,variable,,,,malariafuday,prism border cohort study expanded database through october 31st 2020::malariafuday,dbl,9,NA,NA,0 to 14,15,NA,0.939527891,NA,http://purl.obolibrary.org/obo/EUPATH_0020236,Malaria follow up day,NA,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073
malariacat,101,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Blood smear categories,,variable,,,,malariacat,prism border cohort study expanded database through october 31st 2020::malariacat,dbl+lbl,1,NA,NA,0 to 3,4,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000338,Malaria diagnosis and parasite status,10,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738
convulsions,102,prism border cohort study expanded database through october 31st 2020,keep,,Observation,danger signs: 1-2 convulsions,"1-Yes
0-No",value,,,,convulsions,prism border cohort study expanded database through october 31st 2020::convulsions,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020006,1-2 convulsions over 24h,NA,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254
unabletosit,103,prism border cohort study expanded database through october 31st 2020,keep,,Observation,danger signs: unable to sit up,"1-Yes
0-No",value,,,,unabletosit,prism border cohort study expanded database through october 31st 2020::unabletosit,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020192,Unable to sit,NA,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254
vomitingc,104,prism border cohort study expanded database through october 31st 2020,keep,,Observation,danger signs: vomiting everything,"1-Yes
0-No",value,,,,vomitingc,prism border cohort study expanded database through october 31st 2020::vomitingc,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020202,Vomiting everything,NA,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254
unabletodrink,105,prism border cohort study expanded database through october 31st 2020,keep,,Observation,danger signs: unable to eat or drink anything,"1-Yes
0-No",value,,,,unabletodrink,prism border cohort study expanded database through october 31st 2020::unabletodrink,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020191,Unable to breastfeed or drink,NA,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254
lethargy,106,prism border cohort study expanded database through october 31st 2020,keep,,Observation,danger signs: lethargy,"1-Yes
0-No",value,,,,lethargy,prism border cohort study expanded database through october 31st 2020::lethargy,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020102,Lethargy,NA,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254
cerebral,107,prism border cohort study expanded database through october 31st 2020,keep,,Observation,severe malaria: cerebral malaria,"1-Yes
0-No",value,,,,cerebral,prism border cohort study expanded database through october 31st 2020::cerebral,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020057,Celebral malaria,NA,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184
convulsions3,108,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,severe malaria: 3 or more convulsions,NA,NA,,,,convulsions3,prism border cohort study expanded database through october 31st 2020::convulsions3,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,NA,NA,NA,NA,NA
severeanemia,109,prism border cohort study expanded database through october 31st 2020,keep,,Observation,severe malaria: severe anemia,"1-Yes
0-No",value,,,,severeanemia,prism border cohort study expanded database through october 31st 2020::severeanemia,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020182,Severe anemia (Hb <5 mg/dL),NA,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184
distress,110,prism border cohort study expanded database through october 31st 2020,keep,,Observation,severe malaria: respiratory distress,"1-Yes
0-No",value,,,,distress,prism border cohort study expanded database through october 31st 2020::distress,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020252,Respiratory distress,NA,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184
jaundice,111,prism border cohort study expanded database through october 31st 2020,keep,,Observation,severe malaria: jaundice,"1-Yes
0-No
9-Cannot assess",value,,,,jaundice,prism border cohort study expanded database through october 31st 2020::jaundice,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/HP_0000952,Jaundice,NA,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
other,112,prism border cohort study expanded database through october 31st 2020,keep,,Observation,severe malaria: other criteria,"1-Yes
0-No",value,,,,other,prism border cohort study expanded database through october 31st 2020::other,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020142,Other severe disease,NA,Severe malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020184
othersigns,113,prism border cohort study expanded database through october 31st 2020,keep,,Observation,other criteria for severe malaria,NA,variable,,,,othersigns,prism border cohort study expanded database through october 31st 2020::othersigns,dbl,-9,NA,NA,-9 to -9,1,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020143,Other severe malaria signs,4,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
bsreading,114,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Blood smear reading,"1-Urgent
0-Routine",variable,,,,bsreading,prism border cohort study expanded database through october 31st 2020::bsreading,dbl+lbl,0,NA,NA,-9 to 1,3,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020055,Blood smear reading,NA,Blood eukaryote testing,http://purl.obolibrary.org/obo/EUPATH_0021130
parasitedensity,115,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Parasite density by microscopy,NA,variable,,,,parasitedensity,prism border cohort study expanded database through october 31st 2020::parasitedensity,dbl,0,NA,NA,0 to 193920,210,NA,0.949541422,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000092,"Plasmodium asexual stages (per uL blood), by microscopy",3,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
bsdich,116,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Whether parasitemic by microscopy,NA,NA,,,,BSdich,prism border cohort study expanded database through october 31st 2020::bsdich,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.949541422,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000048,"Plasmodium asexual stages, by microscopy",2,NA,NA
bscat,117,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,BS categories,NA,NA,,,,BScat,prism border cohort study expanded database through october 31st 2020::bscat,dbl+lbl,0,NA,NA,0 to 4,4,NA,0.949541422,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020223,"Asexual Plasmodium categorization, by microscopy",4,NA,NA
gametocytes,118,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Gametocyte density by microscopy,NA,variable,,,,gametocytes,prism border cohort study expanded database through october 31st 2020::gametocytes,dbl,0,NA,NA,0 to 544,10,NA,0.949541422,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0023018,"Plasmodium gametocytes (per uL blood), by microscopy",6,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
gamdich,119,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Whether gametocytes present by microscopy,,variable,,,,gamdich,prism border cohort study expanded database through october 31st 2020::gamdich,dbl,0,NA,NA,0 to 1,2,NA,0.949541422,NA,http://purl.obolibrary.org/obo/EUPATH_0000207,"Plasmodium gametocytes, by microscopy",5,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
hemoglobin,120,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Hemoglobin level in gm/dL,NA,variable,,,,hemoglobin,prism border cohort study expanded database through october 31st 2020::hemoglobin,dbl,12.10000038,NA,NA,7.30000019073486 to 20.7000007629395,104,NA,0.981446399,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),NA,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795
anemia11,121,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Hb < 11 gm/dL,,variable,,,,anemia11,prism border cohort study expanded database through october 31st 2020::anemia11,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.981446399,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0011161,Anemia (hemoglobin less than 11g/dL),NA,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795
qpcr,122,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Parasite density by qPCR,NA,variable,,,,qpcr,prism border cohort study expanded database through october 31st 2020::qpcr,dbl,0,NA,NA,0 to 177598.984375,797,NA,0.954593294,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020166,"Plasmodium (per uL), by qPCR",8,Plasmodium in blood,http://purl.obolibrary.org/obo/EUPATH_0033308
qpcrdich,123,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Whether parasitemic by qPCR,NA,NA,,,,qPCRdich,prism border cohort study expanded database through october 31st 2020::qpcrdich,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.954593294,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0025125,"Plasmodium, by qPCR",7,NA,NA
qpcrcat,124,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,qPCR categories,NA,NA,,,,qPCRcat,prism border cohort study expanded database through october 31st 2020::qpcrcat,dbl+lbl,0,NA,NA,0 to 8,9,NA,0.954593294,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020248,"Plasmodium density categorization, by qPCR",9,NA,NA
hospitalizations,125,prism border cohort study expanded database through october 31st 2020,keep,,NA,Whether the participant was hospitalized,NA,NA,,,,hospitalizations,prism border cohort study expanded database through october 31st 2020::hospitalizations,dbl+lbl,0,NA,NA,0 to 1,2,NA,0.942986017,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,NA,NA,NA
nextvisit,126,prism border cohort study expanded database through october 31st 2020,discard,,NA,Date of next scheduled visit,NA,NA,,,,nextvisit,prism border cohort study expanded database through october 31st 2020::nextvisit,chr,11/10/20,date?,%Y-%m-%d,>10 unique values,40,NA,0.942986017,duplicated variable,NA,NA,NA,NA,NA
barcode,127,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Laboratory barcode,NA,NA,,,,barcode,prism border cohort study expanded database through october 31st 2020::barcode,chr,VQHT,NA,NA,>10 unique values,1678,NA,0.949541422,duplicated variable,NA,NA,NA,NA,NA
mfdone,128,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Membrane feeding done,NA,NA,,,,MFdone,prism border cohort study expanded database through october 31st 2020::mfdone,dbl,1,NA,NA,1 to 1,1,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020240,Membrane feeding performed,1,NA,NA
numfed,129,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Number of mosquitoes fed,NA,variable,,,,numfed,prism border cohort study expanded database through october 31st 2020::numfed,dbl,73,NA,NA,61 to 90,29,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020081,Fed mosquitoes (count),5,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
numdissected,130,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Number of mosquitoes dissected,NA,variable,,,,numdissected,prism border cohort study expanded database through october 31st 2020::numdissected,dbl,69,NA,NA,48 to 89,33,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020120,Mosquitoes dissected (count),6,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
anyoocysts,131,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Number of mosquitoes with any oocyst,,variable,,,,anyoocysts,prism border cohort study expanded database through october 31st 2020::anyoocysts,dbl,0,NA,NA,0 to 39,6,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020242,Mosquitos with oocysts (count),8,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
propinfected,132,prism border cohort study expanded database through october 31st 2020,keep,Proportion of mosquitos with oocysts to all fed mosquitos,Sample,Proportion of feed mosquitoes with oocysts,,variable,,,,propinfected,prism border cohort study expanded database through october 31st 2020::propinfected,dbl,0,NA,NA,0 to 0.549295783042908,8,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020243,Mosquitos with oocysts (proportion),9,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
totaloocysts,133,prism border cohort study expanded database through october 31st 2020,keep,Total number of oocysts from all blood-fed mosquitos,Sample,Total number of oocyst,,variable,,,,totaloocysts,prism border cohort study expanded database through october 31st 2020::totaloocysts,dbl,0,NA,NA,0 to 326,8,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020251,Total oocysts,10,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
source,134,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Source of mosquitoes,"1-  Colony
2- Wild colleced",variable,,,,source,prism border cohort study expanded database through october 31st 2020::source,dbl+lbl,1,NA,NA,1 to 1,1,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020118,Mosquito source,4,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
media,135,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Type of media,"1- Whole blood
2- Serum replacement
3-  Autologous Plasma",variable,,,,media,prism border cohort study expanded database through october 31st 2020::media,dbl+lbl,1,NA,NA,1 to 1,1,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020108,Media type,3,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
feedingmethod,136,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Method of feeding,"1- Membrane feeding
2- Skin feeding",variable,,,,feedingmethod,prism border cohort study expanded database through october 31st 2020::feedingmethod,dbl+lbl,1,NA,NA,1 to 1,1,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020085,Feeding method,2,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
leaking,137,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Blood leaking from feeders,"1- Yes
0- No",variable,,,,leaking,prism border cohort study expanded database through october 31st 2020::leaking,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020054,Blood leaking from feeders,11,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
notfeeding,138,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Mosquitoes were not feeding,"1- Yes
0- No",variable,,,,notfeeding,prism border cohort study expanded database through october 31st 2020::notfeeding,dbl+lbl,0,NA,NA,0 to 0,1,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020121,Mosquitoes not feeding,12,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
deadmosq,139,prism border cohort study expanded database through october 31st 2020,keep,,Sample,Number of dead mosquitoes,NA,variable,,,,deadmosq,prism border cohort study expanded database through october 31st 2020::deadmosq,dbl,4,NA,NA,0 to 17,12,NA,0.997654488,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020067,Dead mosquitoes (count),13,Membrane feeding,http://purl.obolibrary.org/obo/EUPATH_0020239
slept,140,prism border cohort study expanded database through october 31st 2020,keep,Asked when collecting light traps at participant’s home during entomology observations.,Observation,Slept in the house last night,,variable,,,,slept,prism border cohort study expanded database through october 31st 2020::slept,dbl+lbl,1,NA,NA,0 to 1,2,NA,0.943677642,NA,http://purl.obolibrary.org/obo/EUPATH_0020268,Slept in dwelling last night,NA,Sleeping habits,http://purl.obolibrary.org/obo/EUPATH_0020255
llin,141,prism border cohort study expanded database through october 31st 2020,keep,Asked when setting light traps at participant’s home,Observation,Slept under an LLIN last night by entomology survey,"1 - Yes
0 - No              2- Unknown",variable,,,,llin,prism border cohort study expanded database through october 31st 2020::llin,dbl+lbl,1,NA,NA,0 to 1,2,NA,0.945421741,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020257,LLIN last night,NA,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097
timetobed,142,prism border cohort study expanded database through october 31st 2020,keep,Asked when setting light traps at participant’s home during entomology observations.,Observation,Time they went to bed,,variable,,,,timetobed,prism border cohort study expanded database through october 31st 2020::timetobed,dbl+lbl,2100,NA,NA,0 to 2300,8,NA,0.945421741,NA,http://purl.obolibrary.org/obo/NCIT_C64593,Bed time,NA,Sleeping habits,http://purl.obolibrary.org/obo/EUPATH_0020255
timeoutofbed,143,prism border cohort study expanded database through october 31st 2020,keep,Asked when setting light traps at participant’s home during entomology observations.,Observation,Time they got out of bed,,variable,,,,timeoutofbed,prism border cohort study expanded database through october 31st 2020::timeoutofbed,dbl+lbl,600,NA,NA,400 to 800,5,NA,0.945421741,NA,http://purl.obolibrary.org/obo/EUPATH_0020163,Out of bed time,NA,Sleeping habits,http://purl.obolibrary.org/obo/EUPATH_0020255
hospitalized,144,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Day participant was hospitalized,"1-Yes
0-No",variable,,,,hospitalized,prism border cohort study expanded database through october 31st 2020::hospitalized,dbl,1,NA,NA,1 to 1,1,NA,0.999879717,NA,http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,1,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308
roa,145,prism border cohort study expanded database through october 31st 2020,keep,,Observation,Reason for hospitalization,NA,variable,,,,roa,prism border cohort study expanded database through october 31st 2020::roa,chr,Child is very weak,NA,NA,", Child is very weak, Inability to stand, lethargy, child is very weak and vomits everything",3,NA,0.999879717,NA,http://purl.obolibrary.org/obo/EUPATH_0000638,Diagnosis at hospitalization,3,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308
durationhosp,146,prism border cohort study expanded database through october 31st 2020,keep,NA,NA,Duration of hospitalization (days),NA,NA,,,,durationhosp,prism border cohort study expanded database through october 31st 2020::durationhosp,dbl,2,NA,NA,2 to 3,2,NA,0.999879717,NA,NA,NA,NA,NA,NA
sleeparea,147,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Letter code of sleeping area in room,NA,NA,,,,sleeparea,prism border cohort study expanded database through october 31st 2020::sleeparea,chr,A,NA,NA,", A, B, C",3,NA,0.948759585,NA,NA,NA,NA,NA,NA
roomnumm,148,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Room number trap set,NA,NA,,,,roomnumm,prism border cohort study expanded database through october 31st 2020::roomnumm,dbl,2,NA,NA,1 to 4,4,NA,0.948759585,duplicated variable,NA,NA,NA,NA,NA
collections,149,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Each CDC LT collection done,NA,NA,,,,collections,prism border cohort study expanded database through october 31st 2020::collections,dbl,1,NA,NA,1 to 1,1,NA,0.948759585,duplicated variable,NA,NA,NA,NA,NA
totalanopheles,150,prism border cohort study expanded database through october 31st 2020,keep,Total number of female anopheles caught in light trap,Observation,Total number of female anopheles collected,,variable,,,,totalanopheles,prism border cohort study expanded database through october 31st 2020::totalanopheles,dbl,5,NA,NA,0 to 284,76,NA,0.948759585,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020122,Total female Anopheles count,NA,CDC light trap,http://purl.obolibrary.org/obo/EUPATH_0020228
totalgambiae,151,prism border cohort study expanded database through october 31st 2020,discard,NA,NA,Total number of female An. gambiae collected,NA,NA,,,,totalgambiae,prism border cohort study expanded database through october 31st 2020::totalgambiae,dbl,4,NA,NA,0 to 279,68,NA,0.948759585,duplicated variable,NA,NA,NA,NA,NA
