overallOrder,variable,dataFile,keepDiscard,IRI,label,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag
1415,anof5dnaextsp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #5: If DNA not extracted, specify why not",NA,,,,NA,anof5dnaextsp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1416,anof5pcrspec_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #5: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof5pcrspec_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1417,anof5bdml_pcr1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #5: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof5bdml_pcr1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1418,anof5bdml_univ_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #5: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof5bdml_univ_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1419,anof5bdml_hum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #5: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof5bdml_hum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1420,anof5bdml_nhum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #5: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof5bdml_nhum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1421,anof5bdml_pcr2_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #5: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof5bdml_pcr2_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1422,anof5bdml_pf_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #5: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof5bdml_pf_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1423,anof6morph_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Female #6: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof6morph_trap,chr,1,NA,NA,n/a,n/a,", 1, 2",2,0.999497487,NA
1424,anof6morphsp1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #6: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof6morphsp1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1425,anof6gono_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof6gono_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1426,anof6tubes_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #6: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof6tubes_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1427,anof6hthid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof6hthid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1428,anof6abid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof6abid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1429,anof6legid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof6legid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1430,anof6tubessp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #6: If no, provide explanation",NA,,,,NA,anof6tubessp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1431,anof6dnaext_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #6: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof6dnaext_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1432,anof6dnaextsp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #6: If DNA not extracted, specify why not",NA,,,,NA,anof6dnaextsp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1433,anof6pcrspec_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof6pcrspec_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1434,anof6bdml_pcr1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof6bdml_pcr1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1435,anof6bdml_univ_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof6bdml_univ_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1436,anof6bdml_hum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof6bdml_hum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1437,anof6bdml_nhum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #6: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof6bdml_nhum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1438,anof6bdml_pcr2_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof6bdml_pcr2_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1439,anof6bdml_pf_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #6: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof6bdml_pf_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1440,anof7morph_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Female #7: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof7morph_trap,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.999569275,NA
1441,anof7morphsp1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #7: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof7morphsp1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1442,anof7gono_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof7gono_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1443,anof7tubes_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #7: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof7tubes_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1444,anof7hthid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof7hthid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1445,anof7abid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof7abid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1446,anof7legid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof7legid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1447,anof7tubessp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #7: If no, provide explanation",NA,,,,NA,anof7tubessp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1448,anof7dnaext_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #7: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof7dnaext_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1449,anof7dnaextsp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #7: If DNA not extracted, specify why not",NA,,,,NA,anof7dnaextsp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1450,anof7pcrspec_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof7pcrspec_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1451,anof7bdml_pcr1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof7bdml_pcr1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1452,anof7bdml_univ_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof7bdml_univ_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1453,anof7bdml_hum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof7bdml_hum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1454,anof7bdml_nhum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #7: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof7bdml_nhum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1455,anof7bdml_pcr2_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof7bdml_pcr2_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1456,anof7bdml_pf_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #7: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof7bdml_pf_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1457,anof8morph_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Female #8: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof8morph_trap,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.999569275,NA
1458,anof8morphsp1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #8: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof8morphsp1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1459,anof8gono_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof8gono_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1460,anof8tubes_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #8: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof8tubes_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1461,anof8hthid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof8hthid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1462,anof8abid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof8abid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1463,anof8legid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof8legid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1464,anof8tubessp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #8: If no, provide explanation",NA,,,,NA,anof8tubessp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1465,anof8dnaext_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #8: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof8dnaext_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1466,anof8dnaextsp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #8: If DNA not extracted, specify why not",NA,,,,NA,anof8dnaextsp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1467,anof8pcrspec_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof8pcrspec_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1468,anof8bdml_pcr1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof8bdml_pcr1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1469,anof8bdml_univ_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof8bdml_univ_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1470,anof8bdml_hum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof8bdml_hum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1471,anof8bdml_nhum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #8: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof8bdml_nhum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1472,anof8bdml_pcr2_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof8bdml_pcr2_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1473,anof8bdml_pf_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #8: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof8bdml_pf_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1474,anof9morph_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Female #9: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof9morph_trap,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.999641062,NA
1475,anof9morphsp1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #9: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof9morphsp1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1476,anof9gono_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof9gono_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1477,anof9tubes_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #9: Head + thorax, a leg, and abdomen separated and placed into 3 separate tubes?","0, No | 1, Yes",,,,NA,anof9tubes_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1478,anof9hthid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Mosquito head + thorax ID,NA,,,,Enter -8 if missing.,anof9hthid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1479,anof9abid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Enter -8 if missing. If bloodfed or half-gravid, send to the molecular lab. If empty or gravid, store at the MAC.",NA,,,,Enter -8 if missing.,anof9abid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1480,anof9legid_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Mosquito leg ID,NA,,,,"Enter -8 if missing. If present, send to molecular lab.",anof9legid_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1481,anof9tubessp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #9: If no, provide explanation",NA,,,,NA,anof9tubessp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1482,anof9dnaext_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"MOLECULAR LAB
Female #9: Was DNA extracted from the mosquito?","0, No | 1, Yes",,,,NA,anof9dnaext_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1483,anof9dnaextsp_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #9: If DNA not extracted, specify why not",NA,,,,NA,anof9dnaextsp_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1484,anof9pcrspec_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Mosquito species determined by PCR,"0, Species undetected | 1, FUN - An. funestus s.s. | 2, VAN - An. vaneedeni | 3, RIV - An. rivulorum | 4, RIVLIKE - An. rivulorum-like | 5, PAR - An. parensis | 6, LEES - An. leesoni | 7, GA - An. gambiae s.s. | 8, AR - An. arabiensis | 9, ME - An. melas/meras | 10, QD - An. quadriannulatus | 11, QDA - An. quadriannulatus alternate",,,,NA,anof9pcrspec_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1485,anof9bdml_pcr1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Was DNA extracted from the bloodmeal in the abdomen for determination of the host species?,"0, No | 1, Yes",,,,NA,anof9bdml_pcr1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1486,anof9bdml_univ_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Did the bloodmeal test positive by the universal primer?,"0, No, non-reactor | 1, Yes",,,,NA,anof9bdml_univ_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1487,anof9bdml_hum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Did the bloodmeal test positive for the human primer?,"0, No, non-human | 1, Yes, human",,,,NA,anof9bdml_hum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1488,anof9bdml_nhum_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #9: If further PCR testing has been done to identify the non-human species that was the source of the bloodmeal, indicate the species here","0, Not detected | 1, Cow | 2, Goat | 3, Dog | 4, Pig",,,,NA,anof9bdml_nhum_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1489,anof9bdml_pcr2_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Was DNA extracted to test for parasite presence in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof9bdml_pcr2_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1490,anof9bdml_pf_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #9: Was Plasmodium falciparum detected in the bloodmeal?,"0, No | 1, Yes",,,,NA,anof9bdml_pf_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1491,anof10morph_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Female #10: Morphological identification,"1, An. gambiae s.l. | 2, An. funestus s.l. | 3, Other Anopheles",,,,NA,anof10morph_trap,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.99971285,NA
1492,anof10morphsp1_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"Female #10: If ""other <i>Anopheles</i>,"" specify",NA,,,,NA,anof10morphsp1_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
1493,anof10gono_trap,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Female #10: Gonotrophic status,"1, Empty/unfed | 2, Bloodfed | 3, Half-gravid | 4, Gravid",,,,NA,anof10gono_trap,chr,NA,NA,NA,n/a,n/a,,0,1,no data
