variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,gems1_huas label
other_spec,gems1_huas_data.sas7bdat,Discard,,chr,"F42.9: Health care expenses. Specify other sources of health care. Only complete part F if the answer to E29 is ""yes"".",,,,,,246,NA,NA,,,"42i. Expenses: Other, Specify"
other_total,gems1_huas_data.sas7bdat,,,num,"F42.9: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at other sources of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,254,NA,NA,,,42i. Expenses: Other/Total
other_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.9: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from other sources of health care of health care. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,252,NA,NA,,,42i. Expenses: Other/Transport
othercare,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,410,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
othr_spec,gems1_huas_data.sas7bdat,Discard,,chr,G48.2: Health care attitudes. Specify (if trt_othr=2). Section G: skip for children who had diarrhea in the last 2 weeks,,,,,,284,NA,NA,,,48. Seek treatment-Other/Specify
othrlose_earn,gems1_huas_data.sas7bdat,,,num,"F45: Health care expenses. Did other caregivers lose some earinings due to seeking or providing care during the child's illness. Only complete part F if the answer to E29 is ""yes"". Use local currency","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",,,,,269,NA,NA,,response value 0 not in codebook,45. Other caregivers loss for care
othrlose_total,gems1_huas_data.sas7bdat,,,num,"F45: Health care expenses. If yes, how much? (if othrlose_earn=2). Only complete part F if the answer to E29 is ""yes"". Use local currency",,,,,,270,NA,NA,,,45. Other caregivers loss/Total
outcome,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,,"0, 1, 2, 3, 4, 5",,,,,NA,33,32,,variable not in HUAS codebook (CRF01 HUAS),
oweight,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,num,,,,,,,NA,82,NA,,variable not in HUAS codebook (CRF01 HUAS),
parents,gems1_huas_data.sas7bdat,Discard,,num,,"1, 2",,,,,398,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
pchldrn,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,421,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
pharm,gems1_huas_data.sas7bdat,Discard,,num,,"0, 1",,,,,403,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
pharm_consult,gems1_huas_data.sas7bdat,,,num,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,200,NA,NA,,,42a. Expenses: Pharmacy/Consultation
pharm_diag,gems1_huas_data.sas7bdat,,,num,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,202,NA,NA,,,42a. Expenses: Pharmacy/Diagnostics
pharm_drug,gems1_huas_data.sas7bdat,,,num,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,201,NA,NA,,,42a. Expenses: Pharmacy/Drugs
pharm_othr,gems1_huas_data.sas7bdat,,,num,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,204,NA,NA,,,42a. Expenses: Pharmacy/Other
pharm_total,gems1_huas_data.sas7bdat,,,num,"F42.1: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,205,NA,NA,,,42a. Expenses: Pharmacy/Total
pharm_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.1: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from the pharmacy. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,203,NA,NA,,,42a. Expenses: Pharmacy/Transport
ppl_house,gems1_huas_data.sas7bdat,,,num,B12: Household information. How many people have been living regularly in your household for the past 6 months.,,,,,,38,NA,NA,,,12. People living in house past 6 months
prevent_blood,gems1_huas_data.sas7bdat,,,num,H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Bloody diarrhea.,"1=No, 2=Yes, NA=NA",,,,,324,NA,NA,,,56. Prevent illnesses/Bloody diarrhea
prevent_loose,gems1_huas_data.sas7bdat,,,num,H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Simple loose/watery diarrhea.,"1=No, 2=Yes, NA=NA",,,,,323,NA,NA,,,56. Prevent illnesses/Simple loose
prevent_rice,gems1_huas_data.sas7bdat,,,num,H56: Attitudes about diarrheal illness. Multifilter: Do you know any ways that prevent your child from getting these illnesses? Rice watery/cholera-like illness.,"1=No, 2=Yes, NA=NA",,,,,325,NA,NA,,,56. Prevent illnesses/Rice watery
prevways_brefeed,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Breastfeeding. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,332,NA,NA,,,57. Breastfeeding
prevways_clean,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Clean food or water. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,334,NA,NA,,,57. Clean food or water
prevways_cnbeprev,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Cannot be prevented. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,336,NA,NA,,,57. Cannot be prevented
prevways_med,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Medications. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,330,NA,NA,,,57. Medications
prevways_nutr,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Nutrition. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,329,NA,NA,,,57. Nutrition
prevways_othr,gems1_huas_data.sas7bdat,Discard,,num,"H57.1: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Other, specify. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","NA=NA, 0=No, 1=Yes",,,,,337,NA,NA,,,57. Other
prevways_spec,gems1_huas_data.sas7bdat,Discard,,chr,H57.2: Attitudes about diarrheal illness. Specify (if prevways_othr=1).,,,,,,338,NA,NA,,,57. Specify other way to prevent illness
prevways_vaccin,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Vaccines. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,333,NA,NA,,,57. Vaccines
prevways_wash,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Washing hands. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,331,NA,NA,,,57. Washing hands
prevways_waste,gems1_huas_data.sas7bdat,,,num,"H57: Attitudes about diarrheal illness. Multifilter: In your opinion, what are the best ways to prevent these illnessess Proper disposal of human waste. Skip H57 if H54/H55/H56 are all ""No"". Select 3 or less, don't prompt caretaker.","0=No, 1=Yes",,,,,335,NA,NA,,,57. Proper disposal of human waste
prim_schl,gems1_huas_data.sas7bdat,,,num,B11: Household information. How far did you (the primary caretaker) go in school.,"1=No formal schooling, 2=Less than primary, 3=Completed primary, 4=Post-secondary, 5=Completed secondary, 6=Religious education only, NA=NA",,,,,37,NA,NA,,,11. How far did caretaker go in school
prim_young,gems1_huas_data.sas7bdat,,,num,B15: Household information. How many children younger than 60 months in this household are under your primary care.,,,,,,41,NA,NA,,,15. Total 
primcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A04: Eligibility information. Are you a primary caretaker of the child. If ""no"", ask if a primary caretaker is available. If not available, make an appointment for a return visit.","1=No, 2=Yes",,,,,14,9,10,,,4. Primary caretaker
privdoc_consult,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation with a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,218,NA,NA,,,42d. Expenses: Licensed doc/Consultation
privdoc_diag,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics from a licenced practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,220,NA,NA,,,42d. Expenses: Licensed doc/Diagnostics
privdoc_drug,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,219,NA,NA,,,42d. Expenses: Licensed doc/Drugs
privdoc_othr,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,222,NA,NA,,,42d. Expenses: Licensed doc/Other
privdoc_total,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,223,NA,NA,,,42d. Expenses: Licensed doc/Total
privdoc_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.4: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a licensed practitioner/private doctor. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,221,NA,NA,,,42d. Expenses: Licensed doc/Transport
q20_code1,gems1_huas_data.sas7bdat,Discard,,num,,,,,,,367,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
q20_code2,gems1_huas_data.sas7bdat,Discard,,num,,,,,,,368,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
q20_code3,gems1_huas_data.sas7bdat,Discard,,num,,,,,,,369,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
q27_eyes_skin,gems1_huas_data.sas7bdat,,,num,D27.1: Diarrhea history. Sunken eyes & loss of skin turgor. Only complete for children who had diarrhea in the last 2 weeks,"1=Sunken eyes only, 2=Wrinkled skin only, 3=Sunken eyes and wrinkled skin, 4=Neither, 5=Unknown",,,,,376,NA,NA,,,
q31_1_ctr,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,384,NA,NA,,,
q31_1_doc,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,381,NA,NA,,,
q31_1_healr,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,380,NA,NA,,,
q31_1_pharm,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,379,NA,NA,,,
q31_1_privdoc,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,382,NA,NA,,,
q31_1_remdy,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,383,NA,NA,,,
q31_carequality,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3, 4, 5, 6, 7",,,,,385,NA,NA,,,
q31_code1,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,,,,370,NA,NA,,,
q31_code2,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,,,,371,NA,NA,,,
q31_code3,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,,,,,,372,NA,NA,,,
q31_healer,gems1_huas_data.sas7bdat,,,num,E31.10: Health care utilization. Traditional healer or unlicenced practitioner. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,389,NA,NA,,,
q31_healthctr,gems1_huas_data.sas7bdat,,,num,E31.08: Health care utilization. Health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,387,NA,NA,,,
q31_nocare,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,378,NA,NA,,,
q31_nonprofessional,gems1_huas_data.sas7bdat,,,num,E31.11: Health care utilization. Only complete for children who had diarrhea in the last 2 weeks,"1, 2, 3",,,,,390,NA,NA,,,
q31_nonsentinel,gems1_huas_data.sas7bdat,,,num,E31.07: Health care utilization. Non-sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,386,NA,NA,,,
q31_professional,gems1_huas_data.sas7bdat,,,num,E31.09: Health care utilization. Professional care. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,388,NA,NA,,,
q31_sentinel,gems1_huas_data.sas7bdat,,,num,E31.06: Health care utilization. Sentinel health center. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,,,,374,NA,NA,,,
q32_dayseek,gems1_huas_data.sas7bdat,,,num,E32.1: Health care utilization. Sought care at sentinel health facility on day 0-7 of diarrhea. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=No diarrhea",,,,,397,NA,NA,,,
q51_healer,gems1_huas_data.sas7bdat,,,num,G51.7: Health care attitudes. Traditional healer or unlicensed practitioner. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,396,NA,NA,,,
q51_healthctr,gems1_huas_data.sas7bdat,,,num,G51.5: Health care attitudes. Health center. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes (sentinel or non-sentinel), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,394,NA,NA,,,
q51_professional,gems1_huas_data.sas7bdat,,,num,G51.6: Health care attitudes. Professional care. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes (seninel, non-sentinel, licensed practitioner), 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,395,NA,NA,,,
q51_sentinel,gems1_huas_data.sas7bdat,,,num,G51.4: Health care attitudes. Sentinel health center. Section G: skip for children who had diarrhea in the last 2 weeks,"1=Yes, 2=No, 3=Had diarrhea within last 2 weeks, 99=Missing/error, NA=NA",,,,,393,NA,NA,,,
q51_withb,gems1_huas_data.sas7bdat,,,num,G51.8: Health care attitudes. Section G: skip for children who had diarrhea in the last 2 weeks,"1, 2, 3, 99",,,,,391,NA,NA,,,
q51_withoutb,gems1_huas_data.sas7bdat,,,num,G51.9: Health care attitudes. Section G: skip for children who had diarrhea in the last 2 weeks,"1, 2, 3, 99",,,,,392,NA,NA,,,
qc_code,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.5: Eligibility information. Quality control's name (staff code).,,,,,,24,16,3,,,QC staff code
qc_code2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.6: Eligibility information. Quality control's name 2 (staff code).,,,,,,355,74,4,,,QC staff code
qc_da,gems1_huas_data.sas7bdat,Discard,,num,A07.9: Eligibility information. Day of QC date.,,,,,,28,NA,NA,,,Calculated QC Day
qc_date,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,date,A07.7: Eligibility information. Date of QC.,,,,,,26,17,1,,,Calculated QC Date
qc_date_str,gems1_huas_data.sas7bdat,Discard,,chr,,,,,,,25,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),QC date
qc_date2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,date,A07.8: Eligibility information. Date of QC 2.,,,,,,357,75,2,,,Calculated QC Date
qc_date2_str,gems1_huas_data.sas7bdat,Discard,,chr,,,,,,,356,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),QC date
qc_mo,gems1_huas_data.sas7bdat,Discard,,num,A07.9: Eligibility information. Month of QC date.,,,,,,27,NA,NA,,,Calculated QC Month
qc_yr,gems1_huas_data.sas7bdat,Discard,,num,A07.9: Eligibility information. Year of QC date.,,,,,,29,NA,NA,,,Calculated QC Year
qc2_da,gems1_huas_data.sas7bdat,Discard,,num,A07.9: Eligibility information. Day of QC2 date.,,,,,,359,NA,NA,,,Calculated QC Day
qc2_mo,gems1_huas_data.sas7bdat,Discard,,num,A07.9: Eligibility information. Month of QC2 date.,,,,,,358,NA,NA,,,Calculated QC Month
qc2_yr,gems1_huas_data.sas7bdat,Discard,,num,A07.9: Eligibility information. Year of QC2 date.,,,,,,360,NA,NA,,,Calculated QC Year
rank_ctr1,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 1st choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,141,NA,NA,,,31. Rank occurence-Center One
rank_ctr2,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 2nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,143,NA,NA,,,31. Rank occurence-Center two
rank_ctr3,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Hospital/center of 3nd choice. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,145,NA,NA,,,31. Rank occurence-Center three
rank_doc,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Unlicensed practitioner/village doctor/bush doctor/village health worker. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,137,NA,NA,,,31. Rank occurrence-Unlicensed doc
rank_friend,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Friend/relative. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,135,NA,NA,,,31. Rank occurrence-Friend/relative
rank_healr,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Traditional healer. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,136,NA,NA,,,31. Rank occurrence-Traditional healer
rank_othr,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Other, specify. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,147,NA,NA,,,31. Rank occurence-Other
rank_othspec,gems1_huas_data.sas7bdat,Discard,,chr,E31: Health care utilization. Specify (if rank_othr is ranked). Only complete for children who had diarrhea in the last 2 weeks,,,,,,148,NA,NA,,,31. Specify other occurrence
rank_pharm,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Pharmacy. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,134,NA,NA,,,31. Rank occurrence-Pharmacy
rank_privdoc,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Licensed practitioner/private doctor (not at hospital). Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,138,NA,NA,,,31. Rank occurrence-Licensed doc
rank_remdy,gems1_huas_data.sas7bdat,,,num,"E31: Health care utilization. Multifilter: Please rank the following in order of occurrence if you sought care for your child Bought a remedy/drug at the shop/market. Only complete for children who had diarrhea in the last 2 weeks. If sought care at a sentinel health enter, answer E32 & E33, otherwise go to E34",,,,,,139,NA,NA,,,31. Rank occurrence-Bought a remedy
relat_spec,gems1_huas_data.sas7bdat,Discard,,chr,B08.1: Household information. Specify other relationship to child (if relation=10).,"=Blank/missing, ADOPTED CHILD=Adoptive parent, CO-WIFE=Co-wife, CORE WIFE=Co-wife, COUSIN=Cousin, COUSIN OF MOTHER=Cousin, HALF SISTER=Half-sister, MOTHER'S AUNT=Mother's Aunt, SISTER IN LAW=Sister-in-law, STEP MOTHER=Step-mother, STEP-MOTHER=Step-mother,",,,,,34,NA,NA,,,8. Specify other relation
relation,gems1_huas_data.sas7bdat,,,num,B08: Household information. What is your relationship to the child.,"1=Mother, 10=Other relation by blood or marriage, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation",,,,,33,NA,NA,,,8. Relationship to child
remdy_consult,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation when buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,224,NA,NA,,,42e. Expenses:Bought remedy/Consultation
remdy_diag,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics related to remedies/drugs bought at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,226,NA,NA,,,42e. Expenses: Bought remedy/Diagnostics
remdy_drug,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for remedies/drugs bought at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,225,NA,NA,,,42e. Expenses: Bought remedy/Drugs
remdy_othr,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges related to buying remedies/drugs at the shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,228,NA,NA,,,42e. Expenses: Bought remedy/Other
remdy_spec,gems1_huas_data.sas7bdat,Discard,,chr,E31: Health care utilization. Specify remedy/drug (if rank_remdy is ranked). Only complete for children who had diarrhea in the last 2 weeks,,,,,,140,NA,NA,,,31. Bought a remedy-Specify
remdy_total,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses related to buying remedies/drugs at a shop/market. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,229,NA,NA,,,42e. Expenses: Bought remedy/Total
remdy_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.5: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from a shop/market to buy remedies/drugs. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,227,NA,NA,,,42e. Expenses: Bought remedy/Transport
rnd_start,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,date,,,,,,,NA,5,NA,,variable not in HUAS codebook (CRF01 HUAS),
rnd_stop,gems1_huas_lite_data_6_sites.sas7bdat,Discard,,date,,,,,,,NA,6,NA,,variable not in HUAS codebook (CRF01 HUAS),
round,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,num,,"1, 2, 3, 4, 5, 6",,,,,NA,4,73,,variable not in HUAS codebook (CRF01 HUAS),
rsn_spec,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Discard,,chr,A07.1: Eligibility information. reason not conducted.,,,,,,22,13,14,variables 'rsn_spec' & 'rsn_specify' should map to the same display label & IRI,,7. Reason not conducted
rundate,gems1_huas_data.sas7bdat,Discard,,num,,17602,,,,,361,NA,NA,,variable not in HUAS codebook (CRF01 HUAS),
sd_blood,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Blood in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,70,NA,NA,,,19. Diarrhea result in harm/Blood
sd_dehydr,gems1_huas_data.sas7bdat,,,num,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Presence of dehydration. Select all that apply.,"0=No, 1=Yes, NA=NA",,,,,74,NA,NA,,,19. Diarrhea result harm/Dehydration
